OOTECH OOCHU TAKEHNIYATINKLES ST. MASK.
41:001:000:1  Tghaehyestla Ehlaiti.
50. Sootakun oochu: ahwole sootakun natuetah sootakun matghachilihi, tyeha kyehea
sootalam matgha awahhliha ? Sootakun kyatihch, kahchu oochu eotine klahtyi.

44

ST. MARK X.
Tghachyestla keneti.

TXahchit iiti otsi niiya, kahchu yuhchiklo^ desha Judaea ti otaihchi Jordan natyechi:
kahchu tane yinkhatyesha; kahchu tane ootanaun akehe kooh otye keoach ahli taneghaotatyechoo.
2.
Kahchu Phariseene vechitestyetl,- kah
chu taoontya yehti, Oochu la teze tatsiyue
yechanaolehu aotezi ? kikaotyehunooh.
3. Kahchu ateyatetlalon toowehchu yehtilon,
Tyeha kehe anaghehtya Moses ?
4. Kahchu toowe ghati, Moses hatyeh kha
syeklah takehnichatinklessi o-ochatihtyehi adusklesse, kahchu oonchatoohtyellu.
5. Kahchu Jesus ateyatetla kahchu toowe
yehti, Naghadzye natsut akehe ayi ihe naghatsi
achateskleslon tidi sa.
6. Ahwole hatseto otsi tike ooli toll Nagha
Tgha teze oola tsege chu.
7. Ayi otsi teze tatgha echeli to chu, kah
chu tatsiyue kali awoti;
8. Kahchu kooh chu onkeghatatye kootsun
ehlatootyesi: atu otaihchi onkyeghatutyesi
ahwole kootsun ehlatootyesi.
9. Oo ayi Nagha Tgha tsayaghehtichii, atuline inchake nivulel.

10. Kahchu nito kwa oota yaotatichne taoontya yehti kwaka inhligi tsi.
11. Kahchu toowe yehti, (Mine assine tatsi-

ST. MARK X.

45

yue odehtyetine, achune chu makahtueh akoochaile ate, soocha keoach.
12. Tsege chu tatsiyue odehtye, kahchu
makahtueh achilai ate, soocha keoach.
13. % Kahchu k^ananihtyi tsito yechihai,
yekatootihi; yaotatichne yachuootatyech ayi
naghanihtyisi ihe.
14. Ahwole Jesus wa-ichi, ohtye atu minihtike ooghilelon, kahchu toowe yehti, Ghateh
kooyasahlah tsito yechihai sachaghatutyeli, kah
chu atu nan ahahun: ayi ihe nao-oaizi Nagha
Tgha kyeyih tsi.
15. Kwa hli anaghaisii, Ooline atu niyatiooti
Nagha Tgha kyeyih yechinekehchi atu Nagha
Tgha kahchi koowoyezi.
16. Kahchu yakoone ihe niyatintyih, kahchu
yakatihtich, kahchu oochu yachi indityesa.
17.
Kahchu yitai tyesha atghunni kehchi,
ehlaityi yuhchidesha ghatlelhu, kahchu yachinachustatalih, kahchu taoontya yehti toowe,
Oochu Tanechiotyihi, tawoshlaitea ahtaze wostazonha ?
18. Kahchu Jesus toowe yehti, Yehoo glia
oochu indityesa sindilon ha ? atuline oochu
oontye ehlaiti zon, ayi Tikeaootli.
19. Sa tsiwohzon atanati, Atu soocha aoonta,
Atu chu tane zaoohel, Atu chu anaooih, Atu chu
ketselihoo tsiwotahoontich neotinoo, Atu chu tane
nawoah, Ohtye taghooncha natgha chu noo chu.
20. Kahchu ateyatetlalon toowehchu yehti,

ST. MARK X.
Taneghaotatich, atghe tidi kama indityeaiih
yeshihto otsi.
21. Kahchu Jesus yakaihtgha, yuntyeh, kahchu toowe yehti, Ehlaiti ooli nainchi tehtsut:
ootinta, anehisi anetye mataghaneli, tyetaisanaine elm ghatanale, kooh ohtye natatootlosi
ya tehclii: kahchu yulichidiya, kahchu ninaootiali ayi sookatiya-i, kahchu sakehtiya.
22. Kahchu atu oochu indityesalon ayi sa
tachi, kahchu yitaityeshalon atu keneli ihe:
atane ohtye ooli nation ayehilon.
23.
Kahchu Jesus klokanatgha, toowehchu
yehti yaotatichne, Tewotye atatlate ayine matatintlone kwewootyelassi Nagha Tgha nataghe
tsi!
24. Kahchu yaotatichne yazake kaooghulli,
Ahwole Jesus ateyatetla kahchu toowehchu
yehti, Tsitohkaine, tahtye indatlaooh ayi kiyasooli mehmehetatintlon kwewootyelu Nagha
Tgha mataghe tsi !
25. Ayi kyeotunni ghatai kwewotyizoo apetsiche kaookoodi, o-ochi matatintlon ehlaiti teze
kwewoya Nagha Tgha nataghe tsi.
26. Kahchu o-ochi ghaooghali, toowe hlaghatati ihe, Mea mechua aghatoota ?
27. Kahchu Jesus yakaitgha toowe yehti,
Tane la atu kookechi nioontsit, Nagha Tgha la
atu kooh hoontye: aha atane Nagha Tgha
atghezi ooli mahechi nioontsut.
28. % Kahchu Peter toowe tyi ehti, Nea ane-

ST. MARK X.

47

tye kyecho tasityetl, kahchu nagliakyehtasityetliih.
29. Kahclu Jesus ateyatetla toowehchu yehti,
Kwa hli anaghaisii, atuline ooli kyeghachelihine
nito kwa; mekye koole, mehtghizze koole, matgha koole, ma koole, inatsiyue koole, maskyege
koole, matsatle koole, suni ilie, kahchu otich
oochu ihe?
30. Ahwole otsinitooalassi keonetyi ketyi
otehche enetyi too, nito kwane, mekye dug
mehtghizze chu, matgha dug ma dm, maskyege
chu, makyeyih dm, kalichu tsookatayaghi elm;
kahchu achu tike tsi ghonioonizut ate kwihzon
ehchaghatai.
31. Ahwole natlone haladi atine haistlachi
awotyeissi; kahchu haistlachi atine haladi awotyeissi.
32.
Kahchu atghunni aghatii Jerusalem
otsi ghatestyetlu; kahchu Jesus yaghatyesha:
kahchu kawoghuli; kahchu kiyahsellu oonighanityetlon. Kahchu niyatila keneti onketi
matgha kahchu yatatati yesoo yuhniyi ihe,
33. Toowe ehti ihe,Nea Jerusalem otsitatyetl;
kahchu tane Chue niyatoohtyelassi taneghaotatich tyiyine, adesklesne chu; inkai mazetse ooli
kiyehtlon, kahchu kiyaniyutyelessi achimene;
34. Kahchu kiyacliaochesi, kahchu kikatootoozassi, kahchu kikyehoozekassi, kahchu kizoohelassi: taiti dzinee awooche ate tsitike
nawootyeissi.

48

ST. MARK X.

35. % Kahchu James chu John chu, Zebidee
chue, yachidesha toowe yelitie, Taneghaotatyechi, kooh koosti aghaawoti akootiti sikooh.
36. Kahchu toowe yehti, Yea sachi nioonunassit naghachanasti ?
37. Kahchu toowe kiyehti, Aghaniah sookah
ookyetih, ehlaiti inehoonati, hligi oosklaghazihtye, nachatinchai kehe.
38. Ahwole Jesus toowe vehtii, Atu atawahti
ooli ootahkyeti: atu mihe tuwahto la ayi tsa
mehtughastoii ? kahchu tunaghakechuhkliti ayi
mehtanekhaitsikliti ayi ihe nehsakaichihkliti ?
39. Toowe kiyehti, Atu ahandatla. Kahchu
Jesus toowe yehti, Kwa hli tuwahtoissi tsaeh
ieti otsi tughastode; kahchu ayi mehtukhaitsihkliti mihe tusakechihklitii ihe ayi ihe mihe
naghakyechuhklitassi:
40. Ahwole wostyi chisinchi chu tayaghetichu
oosklaghazintye atu si senatunne eli kaooali;
ahwole kooyachulelassi ayine kooya so-ochesunne;
41. Kahchu kenetyine aghatitsuk chi ohtye
atu yatsi kyehanelilon James chu John chu.
42. Ahwole Jesus tyechi yehtilon toowehchu
yehti, Atawahti ayi kechanehtya kehe kikaootsutti ayi achune kooyakeolech; kahchu kootaityiye kooyaghatah.
43. Ahwole naghai atu kooh akehe naghahtyeissi: Ahwole ayi koonoochu sachatoohcha
kooti; naghani ayi nagha keo-otichassi:

ST. MARK X.

49

44. Kahchu ooline assine naghani ihe haladi
miindichatoesi o-ochi chatoohchai gha, tane glia
keo-otichassi achanetye glia.
45. Ayi aghoo teze Chue atu makeochatichi
ihe yujhchideya, ahwole tane glia keo-otichassi,
kahchu khaooallu yeghataisi natlone yatachi
ootane.
46. % Kahchu nighanintyetl Jericho : kahchu
Jericho otsi hatayaooh yaotatichne chu tane
natlone chu, mataituehi Bartimaeus, chue
Timaeus, tinkuzze satah tyechihi ihe.
47. Atitsuk chi ayi Jesus Nazareth chihtatyezutti, ohtye tyi otyesta, kahchu toowe yehti,
Jesus nai chue David, soonchoonaya.
48. Kahchu natlone yatati atu awotihi gha:
hoontye ooli otaihchi ohtye otyesta, David chue,
soonchoonaya.
49. Kahchu Jesus hlininiya, kahchu kwehakehe ehti. Kahchu tyechi kiyehti ayi teze
mataituehi, toowe kiyehti ihe, Kyeneneli, niiya;
tyechi nehti.
50. Kahchu ooyadehchus yiatehtakadi, niiya,
kahchu Jesus tsidyesha.
51. Kahchu Jesus otyesta toowehchu yehti,
Ye sachinioonunisita anusleha? Ayi matai
tuehi teze toowe ehti, Aghaghintai, setai saanaoontlihi.
52. Jesus toowe yehti, Taihchi ootinta; na-ihe
naghinta. Iitetyeh matai naootli, kahchu Jesus
kyehtesha atghunni.
X>

50

ST. MARK XI.

Tghachyestla keneti eMaiti matgha.

TTahchu

hwa agliatyi Jerusalem, Bethphage
cliu Bethany chu chisinchi, khis kuchi
Olives aghatyi,yitaityeha onketyene yaotatichne*
2. Kahchu toowe ehti, Taihchi otsitahtyel yito
kwa oontlo chi naghanataihchi: kahchu kweghaachatyeh soosooklya aghahtyelassi taghaklu,
atu makai achatyi; tahwahut, kahchu yuhchinaghahtyel:
3. Kahchu ooline toowe naghai tyete, Yehoo
gha koohghahtya oontye ? kooh taghahti, Metihi tiye hehti; kwete cho otsi nayaduesi.
4. Kahchu yitaighatestyetl, kahchu soosooklya
kiyintyi taghaklu tusklahooka atghunni vaghintyidi; kahchu tahkiyainghut.
5. Kahchu tahkine iiti naihyani toowe kiyehti, Yehoo gha kooh hahtya oontye taghautti
soosooklya ?
6. Kooh kiyehti koohotye ayi Jesus akooyehtii: kwa kootayinchut.
7. Kahchu soosooklya Jesus gha nagliunihtyi,
kahchu kiyeatetahkatti keghihla; kahchu yakaisata.
8. Kahchu natlone kiyeatetahkatti atghunni
tsiyaghestla: kahchu achune naghaghihul tatsi
tachin tsi, kahchu ghatyeh atghunni ghatunihla.
9. Kahchu ayine haladi atine, kahchu ayine
tanekeghatailhne, oghatyesta, toowe ghatieh,Ho-

ST. MARK XI.

51

sanna; Moohchuootaya ayi yuhchideshai yindizi
ihe Naediaghatai:
o
o
10. Koonoochu moohchuootaya manataglie
nagha tgha David, yuhchideshai tindizi ihe
Naghaghatai: Hosanna ayi zon o-ochi yataihchi
miindiotehah.
11. Kahchu Jesus kwiya Jerusalem, o-ochi
tyetachatlihi kwa chu : kahchu kootoo anetye
ooli ookaghanehtghachi, kahchu kahkachi aoocha
koohnioonizutooh, hadesha Bethany tsi keneti
onketi rnatgha chu.
12.
Kahchu naodike tsi, ooatastyetl Beth
any tsi tapat:
13. Kahchu chiche chok chine toontyetsi ya-i
maton ooli, yuhchidesha intyizon ooli ion ate :
yuhniya tsi aton zon yilah; atu ka chiche nichatilesti kho nioonizut ihe.
14. Kahchu Jesus otyesta toowehchu yehti,
Atuline otsitsassi chiche nai ihe too otsi nioonizutti otsi. Kahchu yaotatichne oohatitsalon.
15.
Kahchu nighanintyetl Jerusalem otsi:
kahchu Jesus kwiya tyetachatlihi kwa otyiyi,
kahchu hayadesla ayine atagholane kahchu
ataghatotane tyetachatlihi kwa otyiyi wota,
kahchu yechonayadehklit yakeehtai ayine sooniya klaghayihne, kahchu yestahi chu ayine
oyetli tagholane;
16. Kahchu atu hatyeh yasehlai iyu maaoontye ooline yatooai oolita tatawochulihi tyeta
chatlihi kwa otyiyi oota.

52

ST. MARK XI.

17. Kahchu yaotatich, toowe yehti ihe, Koo
atu kooh akehe nichatinklessi la, Sa kwa anetye
tane tyetachatlihi kwa wowohyih ? Akwole
kooh awahtla anoosine take.
18. Kooh adesklesne chu taneghaotatichne
tyiyine metihi chu oohatitsuk, kahchu oonkhaghanatgha tyeha kehe chahteakiyule gha: yeghanejit ihe, aitye tane khaooghulli ihe yachihootehe.
19. Kootoo kahkachi ooli tsi, hadesha nitokwa wotyih tsi.
20. If Kahchu hatlindo aoocha, taihchi ghataihlu chiche chine maghaye otsi ya-ikoonoo
kiya-ih.
21. Ayi Peter kyejetitihyu toowe yehti, Taneghaotatyechi, makintgha ayi chiche chine atu
tyeswe adintii kwa sakoon.
22. Kahchu Jesus otyesta, toowehchu yehti,
Nagha Tgha aha oodinti.
23. Atai kwa hli anaghaisi, ooline ti khis
atyetane, Achu ninintsit kahchu otsinachatoohtyeli tu chok tsi; kahchu atu tawahkootye ate
tadzye ihe, ahwole ihe kootilon ate ayi ooli
ehtii sakyehchi niwotsitti; awohiisi atghazi ooli
tyekootesi.
24. Ayi ihe anaghaisii, Ooli si nioonunisitassi,
aghaswehlye ate, ihe kootahti nitaghahali, koohzon na^hahaisi.
O
25. Kahchu natahya otye aghaswehli intyizon
ooline oolakehe chalite meititaai ate: Nagha

ST. MARK XI.

53

Tglia nagliai chu ya tehchi ati naghaoochatooImlassi nagha metselihi.
26. Ahwole atu ootalai ate, atu nasdiani cliu
Nagha Tgha yatehchi ati naghaoodohulassi
nagha metselihi.
27. ^ Kahchu yuhchighatestyetl Jerusalem
tsi: intyizon ghayahlhu tyetachatlihi kwa otyiyi
oota, yinkhadesha taneghaotatich metihi tyiyi,
kahchu adesklesne, kahchu haladi meindi
chatehaneh,
28. Kahchu toowe yehti, Ye makaoonatsut
ayiwoh keoonaahch aoontye ? kahchu mea
nayiwa tidi kakaoodzutti keoonaahchi tidi ooli ?
29. Kahchu Jesus ateyatetla toowehchu yehti,
Suni chu ehlawotatye taoontya naghosyeassi,
kahchu satatahti ate, naghatatuhsi ye kakaood
zutti kooh akehe kewohahch aoontye tidi ooli.
30. Matukeghihliti John yataihchi otsi la
tatyesut oontye, tane tsi koole ? kootatinti.
31. Kahchu inchioogliatatyech, toowe ghati
ihe, Koohtitye ate Yataihchi otsi; kooh tootyezi, Yehoo gha tawah tahtyaoontye ?
32. Ahwole koohtitye ate, Tane tsi; tane
eghanejit: ayiwo aitye tane koohkiyehti John,
yaghi kwa hli tanetaghatahehne. ali.
33. Kahchu ooghatyesta kahchu Jesus tsi
toowe kiyehti, Atu koowoti. Kahchu Jesus
otatihch toowehchu yehti, Suni chu atu naghatatuhsesi naghakaoodzutti ayi ihe keoona
ahch tidi ooli.

54

ST. MARK XII.
Tghachyestla keneti onketi mat glia.

TZ"WA tyiyaotatich yiheaghasule. Ehlaiti yaghi
tane oonehye chiche cliok chine ochunehyehti, kahchu anetye ootaisuggi oola Ion, kahchn hayaghinkyetlon ayeti chiche tu taaoohklitigha, kahchu nayaghintsih khaghatai kwa,
kahchu yaniyiooh oonehyene tane, kwa tontyetsidesha.
2. Kootoo koonioonizutooh otsiyateha ayi
ehlaiti yakeotiche yinkhadoya natlone tezoo,
yayual assilon chiche natlone tezoo chiche chine
oochunihyehi tsi.
3. Kahchu nigliatintyi, kahchu kikutatooz,
kahchu tahzoh achukihteha.
4. Kahchu yachideha achune woaine ; kahchu ine tsihadehyitl, kahchu tsinakoozehai
yetsi ihe, kahchu achukideha maooya ooli.
5. Kahchu achune otsideha; kahchu ayi
hazehai; kahchu achune natlone, tahkine chu
kikutatooz, tahkine chu kizehai.
6. Kwaka ehlaiti machue ayehi, o-ochi mandayadetlahoo, ayi chu haistlachi yachiyadeha
toowe ehti ihe, Kiya indi nootghahassi sechue.
7. Ahwole ayine oonehyene tane toowe
hlaghatati, Tunela katsila kakaoozutassi; kwa
hoote zaoogheli, kwa naghani kakao-odzutassi.
8. Kahchu nigliatintyi, kahchu kizehai, kah
chu khakitihtyi chiche chine ochenihyehti iite
otsi.

ST. MARK XII.

55

9. Yea aaoti ayi kakaoodzutti chiche chine
ihe ochanahyehi ? yulichinatlone chahtawoleissi
oonehyene tezoo, kahchu achune chiche chine
ihe ochanahyehi ghaooalassi.
10. Koo kahchu atu makeh ootaghatechila
tidi aduskles; ayi tsye kiyenali ? ayine nito
kwa aootline ayi hatse oohniya sookewostidi:
11. Tila Aghakaoodzutti makyeoahchi, kah
chu ohtye kawochulih naghataitgha ?
12. Kooh chu oonkhaghanatgha kiyuhchutigha, ahwole tane eghanejitlon: aghatane
atawo-otihi ihe ako-oyehti ihe ayi meaghasoochali: kahchu kiyechutestyetllon, taichi ghanintyetl yu.
IS. Y Kahchu kichiteha tahkine Phariseene
chu Herodiana chu, kiyukluhchi gha yazake.
14. Kootoo nighanintyetl tsi, toowe kiyehti,
Taneghaotatich atawotihi hlodinti, atu chu
ooline inaoohoontyiassi: atu chu kyinditaniha
tane oontya kehe, ahwole taneghaodintich
Nagha Tgha oontya kehe matlontideh: Tsiwohzon la machulelu mehtikechilehe sooniya
Caesar, intooe ate chu ?
15. Kaooyeli la, atu kaooyeli koole ? ahwole
atai atawonatioo xneaneahe, toowe yehti, Yehoo
gha sakaootahun aoontye ? sananaliah sooniya
satsoone, wosyekhai.
16. Kwa nakiyiooh.
Kahchu toowe yehti,
Mea achintye sikooh kahchu takehnichatinklesi
mindizi ? Kahchu toowe kiyehti, Caesar tsi.

56

ST. MARK XTI.

17. Kahchu Jesus ateyatetla toowehchu
yeliti, Caesar ghanahah ayi ooli ayahi Caesar.
Nagha Tgha chu ooli ayahi Nagha Tgha. Kwa
kiyaoolih.
18.
Kootoo kooyinkhachatestyetl ine Sadducee yaghine nachagliintai oontooe ghatine;
kali chu taoontya kiyehti toowe ghati ihe,
19. Taneghaotatyehchi, Moses
aghaadusklesiih, Ooline mekye tehtsut ate, matsiyue
chu yechodyesha ate, kahchu tsito atu yechodyesha ate, mekye matsiyue niyatahtyeloo, yaskyege yayanuhi tsito mekye.
 20. Oowhilihi taiuchine hlyehligi gliili: kwa
ayi hatse tsege nitintyi, tehtsutooh atu tsito
yechodyesha.
21. Kooh chu haladi tachi tsege ninayatihtyi,
kahchu tehtsut, atai chu atu tsito yechodyesha:
haladi tachi ayi chu kwaka hlyeih.
22. Kahchu taiuchi aline aghahiii, kahchu
atu tsito yechoghatatyel: hli haistlahchi ayi
tsege tehtsutii.
23. Hooghaghintyetl tsi, tsitike ghaiskye tsi
ooli ate, mea soo ate yakahoota tyiooh ? taiuchi
ghili aghanetye kookahsatalon.
24. Kahchu Jesus ateyatetla toowehchu
yehti, Atu kha yaghayala, atu itawahtihi
ihe, aduskles tyiyi, Tikeaootli koole manatsutti ?
25. Kootoo tsitike ghaiskye ate koozetse otsi,
atu inkah tueakoochila koole atu chu hlakoo-

ST. MARK XII.

57

chilalon; ahwole keotihchi tyiyi yeghinhtyelon
yataihchi ati.
26. Ahwole tehtsut ine, tsitike nawokyesi:
atu makyeh ootaghatyechtah ooli la Moses
adusklese, tyelia yehti kat tsaghehtonti Tikeaootli yechiintecMi, Suni Tikeaootli asli aoontye
Abraham tgha asli, kahchu Tikeaootli asli
aoontye Isaac tgha asli, kahchu Tikeaootli asli
aoontye Jacob tgha asli ?
27. Oochu natooene atu yeta odeha ahwole
yaghitane gha: ayi ihe o-ochi kayaghatsut.
28.
Kahchu ehlaiti adesklesi yahchidyesha,
kahchu atitsuklon ihe inchiotatyech otye, kah
chu atawotihoo tsiwohzon ateyatetlalon, taoontya
yehtilon, Tyeya ootaihchi hatse tsiwotsatyehli ?
29. Kahchu Jesus toowe hakehe ateyatetla,
Hatseto tsiwotsatyehli anetye asikooh titih,
Nea oozintso, O Israel; Naghaghatai Nagha
Tgha atane zon Naghaghatai aoontye :
* 30. Kahchu maoontye Nagha Tgha Nagha
ghatai atghe nedzye ihe, kahchu atghe matsinde
ihe, kahchu atghe nindi ihe, kahchu atghe
nanatsutti ihe : ayila hatsetoh tsiwotsatyehli.
31. Oo ayi onkye kwa hlye oontye, toowe
hakehe, Mataghoonti nehtanoone natsun matintya kehe.
Oontooe tsiwotsatyehli ootaihchi
miindi^hatoohai tizon.
32. Kahchu adesklesne toowe yehti, Kwa hli,
Taneghaotatyechi,kooh tintiih hlonchati: ehlaiti
zon Tikeaootli ali; atu achune atune zon:

58

ST. MARK XII.

38. Kahchu machutye atghe khadzye ihe,,
kahchu atghe atsatitsuk ihe, kahchu atghe
khatsinde ihe, kahchu atghe mehnatsutsut ihe,
kahchu yuatutih yetanoone atwati yakehe,
ootaihchi kyeindi ooteha ayi aghoo atghe tsichatihuli chu inghade keochaachi chu.
34. Jesus wa-inchi ooyu tahwohzon, toowe
yehti, Atu tontye tsi anatih Nagha Tgha
nataghe otsi. Atu ayi keh taoontya atu nichatitah ooli.
35. % Kahchu Jesus otyesta toowehchu yehti
taneghaotatyechoo sahtgha tyetachatlihi kwa
tyiyi oota, Yehoo gha adesklesne kooghatya
oontye Christ David inachue ?
36. Ayi ihe David ataue koochati kooehtii
Atsinde Oochu ihe; Kakaoodzutti kooyehtii
Sakaoodzutti, Muni sinta noohtichintye atehzonih aiseakooyasle ate tsintanine.
37. David atai hoochati nai Kakaoonadzutti
yehti; tyechi otsi gha machue yilontye ?
Tyetaisanaine kyehanelilon oochu kititsalon.
38.
Kahchu toowe yehti machiootehe, Matsagha ghahta adesklesne, tane ayine kwaghintyene koo kestue yaintyesne, kahchu kwaghintye
kyila chihchiche inchiatahachulihti.
39. Kahchu asta otyihti tyetachatlihi kwa,
kahchu o-ochi nataghisatooli asta kwehluchayihti:
40. Chahte akiyila ya kwa wTaatyihi, kahchu
tane ghanaahooh oontves oohatatyech: ayi ti

ST. MAKE XIII.

59

otsinighatooalassi ohtye otaihchi ketselihoo
keochaahchi.
41. f Jesus chu sata sooniya ninchatilesti
oghade, kahchu tane ya-ih iotsi sooniya otsiyatelyihoo kweotsi nichatilihi sooniya; nation(c)
chu tatintlone nation kwechihatehul.
42. Yuhchidesha ehlaiti tsege tiesunni waatyihi ali, kahchu kwehchiyatehyitl o-ochi yaintsutli onketya sooniya satsoone toolya ehlaiti
sooniya satsoone enetya eyontyi.
43. Kahchu yaotatichne tyechi yehti, toowehchu yehti, Kwa hli anaghaisii, tai tiesunnioo
waatyihi naghataihchi ohtye kwechiyatestla,
anahtye naghai ooia kwechitala sooniya nichatilesti :
44. Ayi ihe aghanetye kwehchighadestla
kootatintlon otsi; ahwole atai yindatli otsi
kwehchiyatehyitl anetye ayehesi, anetye ooli
yighataisi.

H

Tgliachyestla keneti taiti matgta.
OONTATAHOOH tyetachatlihi kwa otyiyi tih

otsi, ehlaiti yaotatichi toowe yehti, Taneghaotintichi, nea ti tsye naih atotye, kahchu
nito kwa atotye diode ooli!
2. Kahchu Jesus otyesta, toowehchu yehti,
Ona-ila tidih kwa tyiyi tonli ? atu ehlaiti woo
meachu chatuyesi tsye tasaoo nachatihulassi.
3. Kahchu sata klataihchi khis ke Olives
ooghade tyetachatlihi kwa tyiyi, Peter chu

60

ST. MARK XIII.

James chu John elm Andrew chu taoontya
kiyehtilon sahti aghati zahtgha;
4. Aghatatinti, taisatsi
ooli
khoonioozit
aoontye ? kahchu ate taootyaoontye kootoo
anetye ooli ooghade nininkye ate ?
5. Kwa Jesus ateyatetla toowehchu tyi ehti,
Tyeke atuline naghanooah :
6. Natlone chu yuhchighatutyelassi sindizi
kehchi, toowe ghatuti ihe, Suni Christ; natlone
chu ghanooaliassi.
7. Kahchu atahtsuk ate natsapahi kahchu
natsapahi eoyu ate, atu nagha khazatawahtyel:
ayi etye ooli kehchi nio-otsitassi; ahwole
halohchi atuka koohnao-ozitassi.
8. Ayi ihe ehlaitidi tane ghataghitodeh kiyinkha gliatapah achu tanane, kahchu tane tike
inchi niihach : kahchu eonetye tsi tike ootooloone tsi, kahchu wo-olyesi to khasihai tsookachatayahi chu : ayila tatyeski ochati kyeatsunatsitti.
9.
Awole achukhahahta naghai: naghaghatoochitassi tsiwotsatyelchi; kahchu tyetachatlihi kwa
oota naghatghatsutyesassi:
kahchu nanaghachulelassi haladi tsiwotyihi
metihi o-ochi metihi tyiyi chu suni ihe, ayi ihe
kooyeh ooghahtichoo.
10. Kahchu otich oochu ihe hatse kooyehoochutichassi tike okehe atghe tanane tsi.
11. Ahwole otsinaghachataistle ate, kahchu
naghachataitsut ate, atu ahunataihchi kindi-

ST. MARK XIII.

61

wahtsit atawahtyakehe sootasun koole ataghahkyakelie: ahwole ooli si naghachualassi ayi
sakehchiaghali ayi otahtich : atu naghani otahtyecli ahwole Atsinde Oochu.
12. Mekye taza ihe yatutsitassi azeche tsi
mekye, kahchu atgha khachue; kahchu tsitone
koonahchine niwotyelassi, kahchu nakiyuteissi
tsazuheli gha.
13. Kahchu naghai tane naghachatuhtikeassi
sinclizi ihe : ahwole ayi ayuhi haistlahchi otsi,
ayi nachaoohtaisi.
14.
Ahwole wa-itah ayi metselihi chahtehnitsutsiti tsi kamaotatyehclii Daniel atanataihchi atawatihi nachaghintsitti ayiti o-otooassi
lou5 (ayi aghasule inkai ootootsukki;) inkai ayine
Judaea aline khis tsi ghatoowhezi:
15. Kahchu ayi tahtaghatsi nito kwa atu
noocha nito kwa otsi, koole atu ayite kwewoya
oolitah nitooaluh makwa otsi:
16. Kahchu yaghi achunihyehti oota ati atm.
tahnatoocha yehatyetakhati niyatooallu.
17. Ahwole atu oochu awohtyeissi ayine
koozita tsito tehtsine, yaghine chu tsito yehtochne ayi dzinee !
18. Kahchu aghasuahlih nahuthataklihi atu
yaske ooli.
19. Ayi ihe dzinee oolezi tsookaqhatayahi
ayi etye natooehi zon ooliih toh otsi hatseto
tike ooli toh otsiNagha Tgha ayilaii, kwa hlilon
too otsi, atu koole o-otoowesi.

62

ST. MARK XIII.

20. Kahchu atu Tikeaootli dzinee nakhasse
oolai ate, atuline ootaizilon: ahwole matghachihchine tsi, yatgha-ihchilon, natya oolalon
ayi dzenee.
21. Kalichu ooline too we naglialitye ate, Nea,
taila Christ; koole nea, yaghitih atih; atu a
kootaghahti:
22. Ayi ilie atu tyeswe Christ kahchu atu
tyeswe ghaghatane niwootyelassi, kooh chu
kiyuesi ehtole kahchu kawochuli, aghanooahi
gha, awowootli iyu aoontye ate, matghachihchine.
23. Hoontyeoo khama-inditahsit naghani: nea,
naghatasiih atghazi ooli ootagha.
24.
Ahwole ayi dzinee, kaohtzut ate ayila
tsookachatayahi, sa ihewohelassi hatleke iza
chu atu kaooalassi maootaghe,
25. Kahchu yataihchi sun ooli nakyelassi,
menatsutsutti yataihchi ta ooli yatooloonassi.
26. Kwa ayiti kiyueissi teze Chue yuhchidesha khoos tgha o-ochi mehnatsutsutti chu
tsatinchai chu.
27. Kwa iiti otsiyateha yakeotihchi tyiyi, kwa
chu nachaghanoolelassi yatghachihchine tyeotatyechi otsi ninchi, o-ochi tike wolonhchi otsi
kwa hlilon o-ochi yataihchi lonhchi.
28. Kwa hoote ookaatawahti mihe achati
chiche chine tsi; kootoo kwaka matatse natsutletonh, kahchu ato nehyehta, atawahtihoo
hwaza atoleh ooli:
29. Kooh otve
naghani chu, wa-ichi tidi ooli
J
tj

O

'

ST. MARK XIII.

63

koohnininkye ate, atawahti kwa hwa ooli, tusklah koole.
30. Kwa lili anaghaisii, taine yahlaniyune
tanane atu koolonh oolesi, aise atghe ooli tidi
achahi.
31. Yataihclii cliu tike chu o-otooesi; ahwole
sezake atu woloh oolesi.
32.
Ahwole ayi dzinee kahchu ayi sakehchiahali atuline atawoti, am a, atu keotihchne
tyiyi yatehchi atine aghoone khachue aghoo,
khatgha zon.
33. Tyeke naghai, ootanahi kahchu aghasuahli: ayi ihe atu atawahti kooh nawizut ate.
34. Tezoo Chue ali ihe tezoo yetye tontyetsi
tatyeh ihe, tanito kwa kyechotyesha, kahchu
yatsiwosta yakeotichne, kahchu anetye tezoo
keotihcli akehe, kahchu ayehtii tusklah khaghatai ootanoo gha.
35. Ayi ihe ootanahi: atu atawahtihi aoontye
kootoo nito kwa khaghatai naoochati, kahkachi
koole, hatleke tatichi koole, tihchok otyesta
zahtgha koole, hatlindo koole :
36. Intyizon nooja ate, atu nahoohtyeloo
satyechu.
37. Kahchu ayi anaghaisii anetye kooyesi,
Oonahi.

64

ST. MARK XIY.

Tgliachyestla keneti tinti matgha.
nkyeti

dzinee oolesta

ooli

kwehlachayihi

