A certain	Egia
To spit it out	Kanporantz entzuteko
To spit out from a fire	Sute batetik kanpora botatzeko
To spit out one after another	Bata bestearen atzetik entzuteko
To spit out on him	Kanporantz jo
In spite of	Hala ere
To splash it on oneself	Norberaren gainean zipriztintzeko
To splash on it	Bertan zipriztintzeko
To make a splashing sound	Soinu bizia egiteko
To splatter on it	Splatterrerako
To splatter it on him	Splatterrerako
To split	Zatitzeko
To split it	Zatitzeko
To split it lengthwise	Luzetara zatitzeko
To split it lengthwise	Luzetara zatitzeko
To spoil it for him	Berak hondatzeko
Spokes of a wagon wheel	Bagoi-gurpil bateko erradioak
To be spongy	Harro egoteko
To spoon out part of it	Zati bat ezabatzeko
To spoon things into one's mouth	Gauzak norberaren ahoan botatzeko
To spoon it out	Kanpora botatzeko
Metal spoon	Metalezko koilara
Pottery spoon	Zeramikazko koilara
Small spoon	Koilara txikia
Silver spoon	Zilarrezko koilara
Wooden spoon	Zurezko koilara
To eat with a spoon	Koilara batekin jateko
To be a yellow spot	Puntu horia izateko
To have spots before one's eyes	Begien aurrean orbanak izatea
To put spots on it	Puntuak jartzeko
To make it spotted	Ikusteko
To send him sprawling	Luzagarria bidaltzeko
To carry the spray	Spray-a eramateko
To spray in a number of parallel jets	Lainoztatu zenbait zorrotada paralelotan
To spray it	Lainoztatzeko
To spray it in his face	Aurpegian ihinztatzeko
Paint sprayer	Pintura-lainoztagailua
To begin to spread	Hedatzen hasteko
To have it spread over one	Baten gainean zabaltzeko
To spread among them	Beren artean zabaltzeko
To spread	Zabaltzeko
To spread it	Zabaltzeko
To spread it around (by dribbling	Inguruan zabaltzeko (dribbling bidez)
To spread gravel	Legarra zabaltzeko
To spread one's legs	Hankak luzatzeko
To spread one's legs open	Hanka irekiak luzatzeko
To sit with the legs spread	Hankak luzatuta dituzula esertzeko
To start to spread	Zabaltzen hasteko
To fall spread-eagled	Spread-eagled erortzeko
Last spring	Azken udaberria
To be spring again	Udaberria berriro izateko
At the very beginning of spring	Udaberriaren hasieran
To spring	Udaberrian
To spring it	Udaberrian
To spring out	Brotatzekoa
To spring into the air	Udaberrirako airean
To spring up	Brotatzekoa
To sprinkle on one	Baten gainean ihinztatzeko
To sprinkle it	Ihinztatzeko
To sprinkle the hogan floor	Zorua birrintzeko
To sprinkle it	Ihinztatzeko
Sprout	Prouta
To sprout	Sprout-erako
To sprout wheat	Garia brotatzeko
To make wheat sprouts	Gari-kimuak egiteko
Blue spruce	Izei urdina
Spruce garment	Esprenda
Spruce collar	Izei-lepokoa
Spruce cones	Spruce konoak
White spruce	Txikea zuria
To come in spurts	Spurt-etan etortzeko
To spurt out	Kanporantz espoliatzeko
To be a member of a spy ring or scouting detachment	Eraztun espioi edo esplorazio-destakamendu bateko kide izatea
To spy it	Zelatatzeko
To squabble over it	A squabble haren gainean
In the form of squares	Karratuen forman
Square designs	Diseinu karratuak
Flat squash	Squash planoa
Gray squash	Squash grisa
Tailed squash	Neurrira egindako kalabaza
Red squash	Squash gorria
To be squat and plump	Squat eta plump izateko
In a squeaky voice	Ahots zukutu batean
To squeeze	Zukua ateratzeko
To squeeze him out	Kanpora ateratzeko
To squeeze it	Zukua ateratzeko
To squeeze it together	Elkarrekin estutzeko
To squeeze it out	Kanpora ateratzeko
To start to squeeze him back	Berriz ere estutzen hasteko
To squirm	Squirm-entzat
Ground squirrel	Lurreko katagorria
Gray ground squirrel	Lur griseko katagorria
Light colored pine squirrel	Kolore argiko pinu-katilua
Dark colored pine squirrel	Kolore iluneko pinu-katilua
Albert's squirrel	Albert-en katagorria
Black squirrel with a reddish back	Bizkar gorrixka duen katagorri beltza
To squirt a stream of saliva in- to it	Squirt-en listu-korronte bat -en bertan
To squirt a stream of saliva into the water	Squirt egiteko, listu-korronte bat uretan
To squirt urine up into the air	Kanporatzeko, gernua aireraino
To stack them on one another	Batak besteari botatzeko
To come staggering in- side	In-side harrigarria etortzeko
To go staggering along	Harrigarria izateko
To stagger	Gelditzeko
To stagger into it	Bertan gelditzeko
To stagger into the water	Uretan gelditzeko
To stagger away out of view	Ikusmenetik kanpo gelditzeko
To stagger away	Urrutira gelditzeko
To stagger away and disappear	Gelditzeko eta desagertzeko
To stagger out	Kanporantz gelditzeko
To stagger up	Azeleratzeko
To start staggering off	Mailakatzen hasteko
Interior flight of stairs	Eskaileren barruko hegalkina
Inside staircase	Barneko eskailera
To stall	Stall-erako
To stall on one	Batean pilatzeko
To stall	Stall-erako
To receive a stamp of approval.	Onarpen-zigilua jasotzeko.
To be standing in a circle	Zirkulu batean zutik egotea
To be standing in it	Zutik egotea
To be standing in a line or row	Lerro edo errenkada batean zutik egotea
To be standing in a row one behind the other	Errenkada batean zutik egoteko, bata bestearen atzetik
To be standing in line	Zutik linean egoteko
To be standing on end	Muturrean zutik egoteko
To be a thick stand	Euskarri lodia izateko
To be standing one behind the other	Bata bestearen atzetik geldirik egotea
To be unable to stand him	Gelditzeko gai ez izatea
To be unable to stand it	Jasangaitza izatea
To hold him up in a standing position	Zutik egoteko
To stand on one's head	Buruan gelditzeko
To stand on one's hands	Eskuan gelditzeko
To stand blocking the exit	Irteera blokeatuz gelditzeko
To stand bunched together and motionless	Elkarrekin eta mugimendurik gabe egoteko
To stand guarding it	Gordetzeko
To stand him	Gelditu
To stand in a leaning position	Posizio inklinatuan gelditzea
To stand over it	Haren gainean egoteko
To stand in the way	Bidean gelditzeko
To stand leaning against it	Haren kontra makurtuta gelditzea
To stand on it	Bertan gelditzeko
To stand out	Nabarmentzeko
To stand up	Zutik jartzeko
To stand straight up	Goian zuzen geratzeko
To stand up and lean against it	Altxatzeko eta haren kontra bermatzeko
To stand them side by side against it	Alboan jartzeko
To stand trial	Epaitu ahal izateko
To stand waiting on him	Zain egoteko
A star cluster under Canis Major	Izar-kumulu bat Canis Majorren azpian
Evening and Morning Star	Gaua eta Goiza Izarra
Falling star	Erortzen den izarra
Star of dawn	Egunsentiko izarra
Star gazing	Star gazing
To see stars	Izarrak ikusteko
To stare at each other	Bata besteari begiratzeko
To get a good start on one's drinking	Edarian bertan ondo hasteko
To get a good start on a night's sleep	Gau bateko loaren hasiera ona lortzeko
To start	Hasteko
To start	Hasteko
To start after it	Gero hasteko
To start after one in it	Baten ondoren hasteko
To be among those starting back from a raid	Raid batetik hasten direnen artean egotea
To start dehairing	Dehairing egiten hasteko
To start to dehair it	Huts egiten hasteko
To start off	Berriz hasteko
To start it	Hasteko
To start it	Hasteko
To start it back up	Berriro hasteko
To start off	Berriz hasteko
To start over	Gehiago hasteko
To be a member of the party that started on a raid	Raid batean hasi zen alderdiko kide izatea
To start raiding them	Haiek raiding egiten hasteko
To start shelling	Bonbardatzen hasteko
To start to shell it	Shell hasteko
To start to beat around	Inguruan irabiatu
To start to beat him	Kolpatzen hasteko
To start to burrow along	Hartzen hasteko
To start to chew	Murtxikatzen hasteko
To start to copulate	Kopulatzen hasteko
To start to copulate with her	Harekin kopulatzen hasteko
To start to curl it	Ikasten hasteko
To start to dance	Dantzatzen hasteko
To start to defecate	Libratzen hasteko
To start to do the laundry	Ikuztegia egiten hasteko
To start to dream about him	Amesten hasteko
To start to drink	Edaten hasteko
To start to drink it	Edaten hasteko
To start to dry it	Lehortzen hasteko
To start to eat	Jaten hasteko
To start to eat it	Jaten hasteko
To start to eat meat	Haragia jaten hasteko
To start to eat it	Jaten hasteko
To start to eat mush	Mush jaten hasteko
To start to eat it	Jaten hasteko
To start to fly back in it	Berriz ere hegan hasteko
To start to freeze	Izozten hasteko
To start to get big	Handia lortzen hasteko
To start to get fat	Koipea lortzen hasteko
To start to get old	Zahartzen hasteko
To start to get rich in it	Aberasten hasteko
To start to graze	Artzaintzan hasteko
To start to graze on it	Bertan artzaintzan hasteko
To start to grind it	Ehotzen hasteko
To start to grow along	Hazten hasteko
To start to have children	Seme-alabak izaten hasteko
To start to have labor pains	Laneko mina izaten hasteko
To start to heat it	Berotzen hasteko
To start to heat it	Berotzen hasteko
To start to kill him	Hiltzen hasteko
To start to lap it up	Gainean jartzen hasteko
To start to lay	Jartzen hasteko
To start to lay it	Jartzen hasteko
To start to make a decoration	Dekorazioa egiten hasteko
To start to make a diagnosis	Diagnostikoa egiten hasteko
To start to make it	Egiten hasteko
To be among those who start to make war on them	Gerra hasten dutenen artean egotea.
To start to move	Mugitzen hasteko
To start to move on it	Mugitzen hasteko
To start to participate in raiding	Raiding-ean parte hartzen hasteko
To start to peter out	Pedro kanpoan hasteko
To start to play it	Jolasten hasteko
To start to pound	Libretan hasteko
To start to pound it	Hau baino arinago hasteko:
To start to rain	Euria hasteko
To start to rain on one	Batean euria egiten hasteko
To start to regenerate	Birsortzen hasteko
To be startled	Harritzeko
To not startle easily	Erraz ez hasteko
To startle him	Gosea emateko
To startle him	Gosea emateko
To starve	Starve-rako
Arizona	Arizona
New Mexico	Mexiko Berria
Utah	Utah
To make a series of statements	Zenbait aitorpen egitea
To stay all night	Gau osoan geratzeko
To stay the same in size	Tamaina berean geratzeko
To stay the same in number	Zenbakitan egoteko
To steal	Lapurtzeko
To steal from him	Harengandik lapurtzeko
To steal away	Urrutira lapurtzeko
To steal away and disappear	Lapurtzeko eta desagertzeko
To steal away with it	Harekin lapurtzeko
To steal in	Lapurtzeko
To steal it	Lapurtzeko
To steal it from him	Harengandik lapurtzeko
To steal out with it	Harekin lapurtzeko
To enter stealthily	Isilpean sartzeko
To exit stealthily	Isilpean irteteko
To advance stealthily	Isilpean aurrera egiteko
To burn oneself with steam	Lurrunez erretzeko
To be steatopygous	Steatopygous izateko
Steel	Altzairuzko altzairua
To have a steep downgrade	Malda pikoa izateko
To start off steering it	Hasteko,
To steer	Zuzentzeko
To steer it around it	Zure ingurura zuzentzeko
To steer it out	Kanporantz zuzentzeko
To follow along in his footsteps	Urratsak egiteko
To step along lightly	Pixka bat aurrera egiteko
To step into one's shoes	Baten zapatetan sartzeko
To step into it and get stuck	Bertan sartu eta trabatuta geratzeko
To step into its mouth	Ahoan sartzeko
To step off	Aireratzeko
To step on it	Urrats bat egiteko
To step on it	Urrats bat egiteko
To step on oneself	Norberaren gainean urrats bat egitea
To step out of it	Handik irteteko
To step over it	Haren gainetik pasatzeko
To step quietly out	Lasai irteteko
To step through it	Bertatik pasatzeko
To take a step	Urrats bat egiteko
To take a series of steps	Zenbait urrats egiteko
My stepfather	Aitaordea
Your stepfather	Aitaordea
His stepfather	Aitaordea
Your stepfather	Aitaordea
My stepfather	Aitaordea
Your stepfather	Aitaordea
Our stepfather	Gure aitaordea
Your stepfather	Aitaordea
To make one sterile	Esteril bat egiteko
The hollow above the sternum	Hutsunea bularrezurraren gainean
Stew pot	Eltze gisatua
Beef stew	Haragi errea
Ceremonial stew	Estofatu zeremoniala
Stick used as an indicator in the moccasin game	Moccasin jokoan adierazle gisa erabilitako Stick-a
Stick used as a drill in making fire with a firedrill	Suzko zulagailu batekin sua egiteko zulatzeko erabiltzen den stick-a
Heald sticks	Makila osasungarriak
Upper heald	Heald gorena
Whirl stick for the firedrill	Suebakirako bastoi birakaria
Planting stick	Ereintza-makila
Drumstick	Drumstick
Stirring stick	Irabiatze-barra
To have protrusions sticking out everywhere	Alde guztietan protrusioak izatea
To hold it sticking up out	Kanpora itsatsita mantentzeko
To play stick dice	Palo dadoak jolasteko
To stick	Itsasteko
To stick him for it	Horregatik itsasteko
To stick into it	Bertan itsasteko
To stick into the water	Uretan itsasteko
To stick it into him roughly	Bertan itsasteko, gutxi gorabehera
To stick it into it	Itsasteko
To stick it in under it	Azpian itsasteko
To stick it into it and be unable to get it out	Itsasteko eta kanpora ateratzeko gai ez izateko
To stick it on it	Itsasteko
To stick it under it as a support	Azpian euskarri gisa itsasteko
To stick it up out	Kanporantz itsasteko
To stick one's arms straight out	Besoak kanporantz itsasteko
To stick one's finger or hand into it and get stuck	Hatza edo eskua bertan itsasteko eta itsatsita lortzeko
To stick one's finger into his eye	Behatza begian itsasteko
To stick one's finger into one's own eye	Behatza begian bertan itsasteko
To stick one's foot in the fire	Oina sutan itsasteko
To stick one's foot into the water	Baten oina uretan itsasteko
To stick one's foot into the dirt or ashes	Oina zikinkerian edo errautsetan itsasteko
To stick one's hand inside	Eskua barruan itsasteko
To stick one's hand into the dirt or ashes	Eskua zikinkerian edo errautsetan itsasteko
To stick one's hand into the fire	Eskua sutan itsasteko
To stick one's hand into the water	Eskua uretan itsasteko
To stick one's legs straight out	Hankak zuzenean kanporantz itsasteko
To stick one's tongue out with a flicking motion	Mihia kanporantz inflexio-mugimendu batekin itsasteko
To stick out	Kanpora itsasteko
To stick out one's tongue	Baten hizkuntza itsasteko
To stick one's tongue out at him	Hizkuntza hari itsasteko
To stick out one's arms and hand	Besoak eta eskua itsasteko
To stick them onto it	Itsasteko
To stick them together	Elkarrekin itsasteko
To stick up jagged	Jagged arte itsasteko
To stick with him	Harekin itsasteko
Stick around!	Inguruan gorde!
Stick dice player	Dado-jokalaria
To lie stiff	Zurrun gezurra esateko
To stand straight and stiff	Zuzen eta zurrun egoteko
To get the stiffness out	Kanporako zurruntasuna lortzeko
Still more than it	Bera baino gehiago
To sting	A sting
To stir	Astintzeko
To stir-fry	A
Stirrup strap	Stirrup uhala
To rough-stitch it	A rough-stitch
To stitch them	Prest jartzeko
To stitch it to it	Berari josteko
To stitch them together	Elkarrekin josteko
Unproductive livestock	Azienda ez-emankorra
Buckskin stockings	Buckskiren galtzerdiak
To put them on	Hemen jartzeko:
To be unable to stomach it	Urdailik ez izateko
To growl	Taldekatzeko
To give one a stomach ache	Bati urdaileko mina emateko
Stomped out water	Ura zapaltzea
To stomp it out	Kanporantz zapaltzeko
Peach stone	Mertxika-harria
Small river stones used as pounding tools	Tresna zorrotz gisa erabiltzen diren ibai-harri txikiak
White mirage stone	Ispilu zuriko harria
To have a bloody stool	Gorozki odoltsua izatea
To become stooped	Stooped izateko
To make it stop hurting	Zauritzeari uzteko
To stop	Gelditzeko
To stop it	Geldiarazteko
To stop	Gelditzeko
To stop aching	Zauritzeari uzteko
To stop cranking it	Erretzeari uzteko
To stop dancing	Dantzatzeari uzteko
To stop driving them	Gidatzeari uzteko
To stop him	Geldiarazteko
To stop it for him	Harengatik geldiarazteko
To stop hurting	Zauritzeari uzteko
To stop it	Geldiarazteko
To stop it	Geldiarazteko
To stop over	Honen gainean geratzeko:
To stop pushing it	Bultzatzeari uzteko
To stop raining	Euria egiteari uzteko
To stop talking	Hitz egiteari uzteko
To stop towing it	Atoian eramateari uzteko
To stop weaving it	Ehuntzeari uzteko
To stop working	Lan egiteari uzteko
To put a stopper in it	Stopper bat jartzeko
To put a stopper in it	Stopper bat jartzeko
To store it away	Urrutira gordetzeko
Food store	Elikagaien denda
Grocery store	Jangarrien denda
Shoe store	Zapata denda
To the store	Dendara
From the store	Dendatik
To have an electrical storm	Ekaitz elektrikoa izatea
To be a dust storm	Hauts-ekaitza izateko
To storm one city after another	Hiri bat bestearen atzetik ekaizteko
To blow up a rainstorm	Euri-ekaitz bat lehertzeko
To blow up a snowstorm	Elur-ekaitz bat hegan egiteko
Stories of witchcraft	Sorginkeria-istorioak
Dirty story	Historia zikina
To be telling stories	Istorioak kontatzen egoteko
To begin a story	Istorio bat hasteko
To tell a story about it	Hari buruzko istorio bat kontatzeko
Electric stove	Berogailu elektrikoa
The last straggler	Azken stragglerra
To stand straight and stiff	Zuzen eta zurrun egoteko
To stick out straight	Zuzen dagoen kanporantz itsasteko
To stand straight up	Goian zuzen geratzeko
To straighten things out	Gauzak kanporantz zuzentzeko
To straighten things up	Gauzak noiz arte zuzendu
To straighten it up	Noiz arte zuzentzeko
To straighten up	Noiz arte zuzentzeko
To strain	Galdatzeko
To strain at it	Bertan galdatzeko
To strain it	Galdatzeko
To strain oneself	Norberarentzako joera izatea
To strangle him with a cord	Lokarri batekin estutzeko
To strangle it	Itotzeko
They lie in ascending strata	Goranzko estratuetan gezurtatzen dute
To streak his forehead with paint	Aurrealdea pinturaz marratzeko
A red streak extends	Bolada gorria zabaldu da
A green or blue streak extends	Bolada berde edo urdin bat zabaltzen da
A yellow streak extends	Errakha horia zabaltzen da
A white streak extends	Bolada zuri bat zabaltzen da
There is a black streak	Bolada beltz bat dago
A stream emerges	Erreka bat urgaineratzen da
Stream bed	Ohea Stream
To cry with tears streaming down	Malkoz negar egiteko beherantz
To go streaming away	Streaming-era urrutira joateko
To go streaming in	Streaming-era joateko
To make it come streaming out	Korrika egitera etortzeko
Along the street	Kalean
Down the street	Kaletik behera
With all one's strength	Indar guztiarekin
His strength	Indarra
To stretch to	Luzatzeko
To stretch one's legs out straight	Hankak kanporantz luzatzeko
To stretch out one's hand	Eskua luzatzeko
To stretch oneself	Nork bere burua luzatzea
To stretch one's neck up out	Lepoa kanporantz luzatzeko
To stretch one's neck back up	Lepoaren bizkarra gora luzatzeko
To stretch it tight	Estututa luzatzeko
To be struck and killed by lightning	Tximista batek jotzeko eta hiltzeko
To strike with it	Harekin jotzeko
To strike	Grebarako
To strike it	Jotzeko
To strike him	Jotzeko
To strike	Grebarako
To strike at the hidden ball	Bola ezkutuan jotzeko
To strike him down	Eraisteko
To strike it	Jotzeko
To strike out among them	Elkarrekin jotzeko
To strike the moccasin with the indicator	Adierazlearekin mokasina jotzeko
To strike them one after another	Bata bestearen kontra jotzeko
To strike them together	Elkarrekin borrokatzeko
To strike their heads together	Buruak elkartzeko
To strike upon it	Gainean jotzeko
To put a string through it	Katearen bidez kate bat jartzeko
To string him along	Kateatzeko
To string him up	Goian zakuratzeko
To string it	Kateatzeko
To string them	Kateatzeko
To start to string them	Kateatzen hasteko
Criss-crossing stripes	Zerrendak gurutzatzen
Gray strip	Zerrenda grisa
Red strip	Zerrenda gorria
Green or blue strip	Zerrenda berdea edo urdina
Yellow strip	Zerrenda horia
To strip it off	Kanpora biluzteko
To strip the threads on it	Hariak bertan kentzeko
To be stronger than him	Bera baino indartsuagoa izateko
To make oneself strong	Indartsu izateko
To struggle with him	Berarekin borrokatu
To struggle with them	Haiekin borrokatzea
To be stuck together	Elkarrekin itsasteko
"To be ""stuck up"""	"Trabatuta egoteko""
To climb up and get stuck	Igotzeko eta trabatuta geratzeko
To get one's finger or hand stuck in it	Hatza edo eskua bertan itsatsita lortzeko
To get one's hand stuck in it	Bertan eskua trabatuta lortzeko
To get one's head stuck in it	Itsatsitako baten burua lortzeko
To get stuck	Itsasteko
To get stuck on a sandbar in it	Sandbar batean itsasteko
To get stuck	Itsasteko
To get stuck on a high center in it	Zentro altu batean itsasteko
To get stuck in a boghole	Boghole batean trabatuta geratzeko
To get stuck in it	Bertan harrapatuta geratzeko
To get stuck	Itsasteko
To get stuck together	Elkarrekin itsasteko
To have one's feet stuck out	Oinak bata kanporantz trabatuta edukitzeko
To row	Ilaran
To step into it and get stuck	Bertan sartu eta trabatuta geratzeko
To stuff it	Betetzeko
To stuff one's pocket with it	Poltsikoa berarekin betetzeko
To be stumbling around after something	Zerbaiten ondoren inguruan estropezu egiten egoteko
To come stumbling inside	Barruan estropezu egiteko
To go stumbling away and disappear	Estropezu egin eta desagertzeko
To stumble	Estropezu egiteko
To stumble backwards	Atzeraka estropezu egiteko
To stumble and fall	Estropezu egiteko eta erortzeko
To stumble and fall with one	Estropezu egiteko eta batekin erortzeko
To stumble around	Inguruan estropezu egiteko
To stumble away	Urrutira estropezu egiteko
To stumble into the water	Uretan estropezu egiteko
To stumble away out of view	Ikusmenetik kanpo estropezu egiteko
To stumble up	Estropezu egiteko
Dried up stump	Goiko lehortze-stump-a
Its stump	Bere panpina
To stump them	Ukitzeko
Subject matter	Subjektuaren gaia
Several subjects	Hainbat gai
To submerge	Murgiltzeko
To submerge	Murgiltzeko
To submerge in it	Bertan murgiltzeko
To submerge	Murgiltzeko
To submerge it	Murgiltzeko
To subside	Sorospenerako
Such and such a person	Pertsona gisa
Such as	Horrela
To be sucking it	Txupatzen joateko
To suck	Xurgatzeko
To suck it	Miazkatzeko
To suck it out of it	Kanpora ateratzeko
To suck it out	Kanpora ateratzeko
To suck it up	Noraino zapaltzeko
To suck on it	Miazkatzeko
To suck on oneself	Norbera xurgatzeko
To start to suck it along	Kulunkatzen hasteko
To suckle	Sukklearentzat
To suckle it	Sukklearentzat
To stop suckling	Sukklingari uzteko
To suffer a let down	Erori
To suffer a loss	Galtzea
To suffer from it	Hartaz sufritzea
To suffer	Sufritu
To suffer pain	Mina izatea
Brown sugar	Azukre marroia
Excess sugar in the urine	Gehiegizko azukrea gernuan
Powdered sugar	Azukrea hautsean
To make a suggestion	Iradokizun bat egiteko
Woman's suit of clothing	Emakumeentzako arropa-jantzia
Native sulfur	Jatorrizko sulfuroa
Aromatic sumac	Sumac aromatikoa
Last summer	Udako uda
This summer	Uda honetan
In the summertime	Udan
To be about to begin	Hastear egoteko
To return	Itzultzeko
To return again	Itzuli berriro
To spend the summer	Uda pasatzeko
The summer before last	Aurreko uda
Near the summit	Gailurretik gertu
From near the summit	Gailurretik gertu
Sunny side	Alde eguzkitsua
Just as the sun was coming up	Eguzkia igotzen ari zen bezala
Next Sunday	Datorren igandean
After sundown	Ilunabarraren ondoren
At sundown	Ilunabarrean
Sunken ship	Sunken barkua
Sunken cannon	Arroila hondoratua, kanoia
Sunken treasure	Hondoratutako altxorra
On the sunny side	Alde eguzkitsuan
At sunrise	Egunsentian
After sunset	Ilunabarraren ondoren
At sunset	Ilunabarrean
At sunup	Egunsentian
Just at sunup	Egunsentian
To stay until sunup	Egunsentira arte egoteko
General Superintendent	Superintendente orokorra
To be superior	Goragokoa izatea
To supplement one's income	Sarrera osatzeko
To be in short supply	Hornidura laburrean egoteko
Supported by it	Haren laguntzarekin
Main support	Euskarri nagusia
To have full support	Euskarri osoa izateko
To put a support under it	Jarri laguntza haren azpian
To be able to support them	Bermatu ahal izateko
To be unable to support them	Ez laguntzea
To support oneself by means of it	Haren bidez bermatu
To support them	Bermatzeko
I sure am	Ziur naiz
why sure	zergatik segurua
Sure enough	Aseguru nahikoa
Surface of the water	Uraren azalera
Surface of the snow	Elurraren azalera
To have multiple surfaces	Gainazal ugari izateko
To do surgery	Kirurgia egiteko
To do surgery on him	Bertan kirurgia egiteko
Surplus wheat	Gari-soberakina
To be surprised	Harritzeko
To surrender it to him	Berari ematea
To be surrounded by a fence	Hesi batez inguratuta egoteko
To be surrounded by a trickling stream	Trikimailuz inguratuta egoteko
To be surrounded by an extensive flat area	Eremu lau zabal batez inguratuta egoteko
To be surrounded by it	Berak inguratuta egoteko
To surround him	Inguratzeko
The different peoples that surround us	Gure inguruko herriak
To surround it	Inguratzeko
To surround it with a fence	Hesi batez inguratzeko
To suspect him	Susmatzeko
To suspect him	Susmatzeko
To suspend it from it	Bertan behera uzteko
To come under suspicion	Susmopean etortzeko
To become or be suspicious of him	Susmagarri izateko
To become suspicious of him	Susmagarri izateko
To swab one's throat	Eztarria aldatzeko
To swab out its nostrils	Sudur-hobiak aldatzeko
To swab out one's nostrils	Sudur-hobiak aldatzeko
To swagger around looking for trouble	Ingurunea arazoen bila aldatzeko
To swallow	Irensteko
To swallow it	Irensteko
To swallow them one after another	Bata bestearen atzetik irensteko
To come swarming in	Hemen biltzeko:
To swarm through it	Haren bidez erditzeko
To swarm up out of it	Kanpoan erditzeko
To sit swaying back and forth	Joan-etorriko swaying-a esertzeko
To sway	A sway
To sway back and forth with it	Harekin joan-etorrian eragiteko
To be sworn in	Hemen erabiltzeko:
To swear on the Bible	Biblian zin egiteko
To swear at him	Zin egiteko
To break out in a sweat	Izerdi batean lehertzeko
To sweat in the genital region	Eremu genitalean izerditzea
Floor covering of a sweathouse	Sweathouse baten estalki-solairua
To get into the sweathouse	Sweathousen sartzeko
To get into the sweathouse one after another	Sweathousen sartzeko, bata bestearen atzetik
To be swept	Garbitzeko
To sweep	Erratzerako
To sweep it inside	Barruan garbitzeko
To sweep it together in one pile	Pila batean batera garbitzeko
Vacuum sweeper	Huts-sueterra
His sweetheart	Bere maitasuna artea
To be swelling	Handitua izateko
To swerve in	Swerve-rako:
To go swiftly	Azkar joateko
To be swimming along after it	Haren ondoren igeri egiten egoteko
To be swimming around	Inguruan igeri egiteko
To swim across	Honen bidez igeri egiteko:
To have swum across	Honen bidez swuma izateko:
To swim after it	Ondoren igeri egiteko
To swim around it	Haren inguruan igeri egiteko
To swim away	Urrutira igeri egiteko
To swim away and disappear	Igeri egin eta desagertzeko
To swim away from each other	Elkarrengandik urrun igeri egiteko
To  swim away from it	Uretatik urrun igeri egiteko
To swim out	Kanpora igeri egiteko
To  swim in a circle	Zirkulu batean igeri egitea
To swim to him	Harengana igerian
To swim to shore	Urertzean igeri egiteko
To swim to the bottom	Beheko aldean igeri egiteko
To swim under  water	Ur azpian igeri egiteko
To start  off swimming	Igeri egiten hasteko
To start to swim	Igeri egiten hasteko
To start to swim	Igeri egiten hasteko
To start to swim after it	Ondoren igeri egiten hasteko
To swing him	Orekatzeko
To swing him	Orekatzeko
To swing it in a circle	Zirkulu batean swing-a egiteko
To swipe it from him	Ateratzeko
To swirl around and around in the wind	Haizearen inguruan eta inguruan biratzeko
To be a syphilitic	Sifilitikoa izatea
Corn syrup	Arto-xarabea
Small four-legged table	Lau hankako mahai txikia
On the table	Mahai gainean
Under the table	Mahai azpian
To tackle	Honi aurre egiteko:
To tackle him	Aurre egiteko
Identification tag	Identifikazio-etiketa
Wool tags	Artilezko etiketak
Horse tail rope	Zaldi-buztana, haria
To be going along with his tail between his legs	Isatsarekin batera hanken artean joateko
"To ""high tail it"" out"	"Isats altua" kanpoan""""
To taint it	Kutsatzeko
To be taken aback	Aback-a hartzeko
To be taken by	Honela hartzeko:
To be taken for money	Dirutzat hartua izateko eskubidea
To be taking place	Gertatzen joateko
"To get ""taken"""	"Hartua" lortzeko"
To have one's picture taken	Irudia hartua izateko
To put on his and not want to take them off	Bere lekuan jartzeko eta ez ditu atera nahi
To start to take a bath	Bainu bat hartzen hasteko
To take charge of him	Hartaz arduratzeko
To take charge of them	Haien ardura hartzeko
To take a boat across	Itsasontzi bat
To take him across by boat	Itsasontziz eramateko
To take a deep breath: shiyol 'iishdóóh	Arnasa sakon hartzeko: shiyol 'iishadoh
To take a defensive position with one's hands up	Eskuak goian dituzula defentsa-jarrera hartzeko
To take a dose of it	Haren dosia hartzeko
To take after him	Ondoren hartzeko
To take after it	Ondoren hartzeko
To take ahold of it with one's nails	Azazkalekin ahold hartzeko
To take a a hold of it	Erretzeko
To take a leisurely look around	Inguruan begirada lasaia hartzeko
To take a little nip of it	Pixka bat hartzeko
To take a little roll	Biribilki txiki bat hartzeko
To take a look at it	Hari begiratu bat emateko
To take a meal	Otordu bat hartzeko
To take a name	Izen bat hartzeko
To take a nap	Siesta bat hartzeko
To take a pinch of it	Hartatik pixka bat hartzeko
To take a quick look around	Inguruan begiratu azkar bat egiteko
To take art	Artea hartzeko
To take a shot at it	Tiro bat hartzeko
To take a sip of it	Hartatik sorbo bat hartzeko
To take a step	Urrats bat egiteko
To take a swallow of it	Enara bat hartzeko
To take a taste of it	Zaporea hartzeko
To take charge of it	Hartaz arduratzeko
To take flight	Hegaldia hartzeko
To take great care with it	Harekin kontu handia izateko
To take great pains with it	Berarekin min handia hartzeko
To take refuge inside of it	Barruan babesa hartzeko
To take refuge in the water	Uretan babesa hartzeko
To take refuge in town	Hirian babesteko
To take unfair advantage of him	Abantaila bidegabea izateko
To take up a collection	Bilduma bat hartzeko
To take him	Eramateko
To take him across by plane	Hegazkinez eramateko
To take him around in it	Inguruan eramateko
To take him away by water	Uretatik urrun eramateko
To take him captive	Gatibu eramateko
To take him for him	Harengandik eramateko
To take his or her clothes off	Arropa kentzeko
To take his place	Bere lekua hartzeko
To take it apart	Aparte kentzeko
To talk	Hitz egiteko
To talk about it	Horretaz hitz egiteko
