I've bought a car	kotxe bat erosi dut
however carefully I explained, she still didn't understand	astiro azalduagatik ere ez zuen ulertzen
the wolf howled in the night	otsoak ulu egiten zuen gauean
he was howling with pain	mina zuelako garrasi egiten zuen
the wind was howling through the trees	haizeak txistu egiten zuen zuhaitz artetik
I huddled under the blanket	tapakiaren azpian uzkurtu nintzen
people huddled together for warmth	jendea elkarrekin multzokatu zen berotasun bila
a huge success	sekulako arrakasta
the human body	giza gorputza
a humane treatment	tratu errukitsua
humanity and divinity	gizatasuna eta jainkotasuna
to be humble about his success	arrakastaren aurrean apala izan
of humble origins	jatorri xumekoa
he was humbled by his answer	haren erantzunak makurrarazi zuen
a humdrum life	bizitza aspergarria
a humid atmosphere	atmosfera hezea
a humorous account	kontakizun xelebrea
to humour sb	norbaiten gustua egin
stand up straight and don't hunch your back	tente jar zaitez eta ez okertu bizkarra
I paid one hundred euros	ehun euro ordaindu ditut
one thousand two hundred and five	mila berrehun eta bost
hundreds of miles	ehunka milia
her hundredth birthday	bere ehungarren urtebetetzea
one hundredth of a second	segundo baten ehunena
she is hunting for a perfect job	lan perfektuaren bila ari da
he likes to hunt	ehizan ibiltzea gustatzen zaio
cats like to hunt birds	katuek saguak ehizatzea gustuko dute
the police are hunting the criminals	polizia hiltzaileen atzetik dabil
he hurdled over the fence	hesiaren gainetik salto egin zuen
to hurl a stone	harria bota
she hurled abuse at him	biraoa bota zion
to hurry the work	lana azkartu
she hurried home	azkar mugitu zen, etxera iristeko
we hurried so as not to be late	azkar ibili ginen berandu ez iristeko
did I hurt you?	min eman dizut?
I didn't mean to hurt you	ez zintudan mindu nahi
dirty oil can hurt a car's engine	olio zikinak autoaren motorrari kalte egin diezaioke
my head hurts	buruko mina izan
my shoes hurt	zapatak min ematen dit
hurtful words	hitz mingarriak
hypnotic state	egoera hipnotikoa
a hysterical joke	barrez itotzeko txiste
I'm going out	kalera noa
I can't say that	nik ezin dut hori esan
I can help you	neuk lagundu diezazuket
an ideal world	mundu ideala
an ideal opportunity	aukera aproposa
political ideals	ideal politikoak
she's ideally suited to the job	ezin hobeki dagokio lana
ideally, I'd like to have lunch at home	ahal dela, etxean bazkaldu nahiko nuke
this ship is identical to the one we travelled on last year	hau iaz bidaiatu genuen itsasontzi berbera da
I identified my attacker three days later	nire erasotzailea hiru egun beranduago ezagutu nuen
you need to identify your priorities	zure lehentasunak aurkitu behar dituzu
she speaks idiomatic and clear English	ingeles natural eta argia hitz egiten du
to leave the car idling	autoa itopuntuan utzi
are you ready? if not, I'm going without you	prest zaude? bestela, zu gabe noa
it was big, if not enormous	handia zen, ikaragarria ez esatearren
at least he gave me a kiss, if only a little one	musu bat eman dit behintzat, txikia izan bada ere
if only it'd been easier	errazagoa izan balitz
if I see him, I'll tell him	ikusten baldin badut, esango diot
an enthusiastic if small audience	entzule gogotsuak baina urriak
I don't know if it's raining or snowing	ez dakit euria ala elurra ari duen
are you ready? if not, I'm going without you	prest zaude? bestela, zu gabe noa
it was big, if not enormous	handia zen, ikaragarria ez esatearren
at least he gave me a kiss, if only a little one	musu bat eman dit behintzat, txikia izan bada ere
if only it'd been easier	errazagoa izan balitz
to be ignorant about	zerbaiten berri ez izan
I'm ill	gaixo nago
ill consequences	ondorio txarrak
ill repute	ospe eskasa
to be ill-equipped to do sth	zerbaiterako ondo hornitu gabe egotea
an illicit purchase	legez kontrako erosketa
an illicit love affair	amodio debekatua
mental illnesses	gaixotasun mentalak
the ill-treatment of prisoners	presoei tratu txarra ematea
to illuminate the road	bidea argitu
Christmas illuminations	Gabonetako argiak
they illustrated the text with pictures	testua irudiz ilustratu zuten
to illustrate my point	nire ikuspuntua argitu
imaginary fears	alegiazko beldurrak
an imaginative child	ume irudimentsua
can you imagine travelling around the world?	imajinatzen duzu munduan zehar bidaiatzea?
"can we still be friends?" —; "I imagine so"	—;lagunak izan gaitezke oraindik? —;hori uste dut
an immediate reaction	berehalako erreakzioa
the immediate area	gertuko ingurua
immediate family	hurbileko senideak
she answered immediately	berehala erantzun zuen
those directly affected	zuzenean kaltetuak
the years immediately before the war	gerra hasi orduko urteak
to immerse in water	urperatu
to immerse oneself in reading	irakurketan murgildu
to immobilize a car	autoa ibilgetu
an immovable stone	harri mugiezina
an immovable opinion	iritzi aldaezina
immune from criticism	kritikatik salbuetsita
the ball impacted against the wall	pilotak hormaren aurka jo zuen
his father's death impacted greatly on him	bere aitaren heriotzak biziki hunkitu zuen
to remain impassive	ezer esan gabe egon
to be impatient	zazpikia izan
impeccable manners	akatsik gabeko portaera
an impecable taste	primerako zaporea
an impending danger	berehalako arriskua
it was imperative for us to act immediately	behar-beharrezkoa zen berehala esku hartzea
imperfect sight	ikusmen ez-perfektua
the imperial palace	jauregi inperiala
he impersonates a singer	abeslari-itxurak egiten ditu
to implant principles in a child	ume bati printzipioak irakatsi
to implant bad ideas in a child's mind	ume baten buruan ideia txarrak ezarri
to implement reforms	berrikuntzak egin
an implicit criticism	kritika inplizitua
implicit trust	erabateko sinesmena
he implored her to say the truth	egia esateko erregutu zion
an imploring look	begirada erregutzailea
his words implied a lack of faith	haren hitzek sinesmen falta iradokitzen zuten
the decision implies many changes	erabakiak hainbat aldaketa dakartza berekin
to import raw materials	lehengaiak inportatu
to impose restrictions	murrizketak ezarri
to impose her will	bere gogoa betearazi
everyone imposes on Tom's good nature	Tom-en ontasunaz denak baliatzen dira
an imposing cathedral	katedral bikaina
an impossible goal	ezinezko helburua
you're impossible at times!	zurekin ezin da batzuetan!
an implossibly difficult problem	sinetsi ezinezko moduko arazoa
an impregnable building	eraikin menderaezina
to impregnate the cloth with alcohol	kotoia alkoholetan busti
to release carbon monoxide into the atmosphere	airean karbono monoxidoa zabaldu
he impressed them with his sincerity	haren zintzotasunak hunkitu zituen
to impress the importance of honesty on a child	ume bati zintzotasunaren garrantzia irakatsi
war left its imprint on the mind of the people	gerraren arrastoak jendearen buruan gelditu ziren
an impromptu speech	bat-bateko hitzaldia
to improve my English	nire ingelesa hobetu
to improve conditions	baldintzak hobetu
he improvised a verse	bat-batean sortu zuen bertsoa
impurities in the drinking water	edateko uraren ezpurutasunak
he quickly learned the ins and outs of the job	lanaren gorabeherak laster ikasi zituen
in the mountains	mendian
in Rome	Erroman
in the morning	goizean
in winter	neguan
in 1976	1976an
to be in bed	ohean egon
to return in 4 days	4 egun barru itzuli
to be ready in 5 minutes	5 minututan prest egon
in small groups	multzo txikitan
he is in his forties	berrogei urte inguru ditu
during the twenties	hogeigarren hamarkadan
in danger	arriskuan
in joy	poztasunez
to live in fear	beldurrez bizi
he answered in anger	haserre/amorruz erantzun zigun
to write in pen	bolalumaz idatzi
in this way	modu honetan
to be in the darkness	ilunpetan egon
is Mikel in?	Mikel etxean dago?; Mikel hor dago?
the tide's in	marea goian dago
the best in our team	gure taldeko onena
he came dressed in black	beltzez jantzita etorri zen
dressed in her best clothes	bere arroparik onenekin
to jump in	barrura salto egin
he quickly learned the ins and outs of the job	lanaren gorabeherak laster ikasi zituen
an inanimate object	bizigabeko objektua
inarticulate speech	berbaldi ulertezina
he is so incapable for this job	hain da ezgai lan honetarako
he's incapable of love	maitatzeko ezgauza da
her decision incensed him	haren erabakiak sumindu zuen
to talk incessantly	etengabe hitz egin
we inched along the road	bidean zehar pixkanaka aurrera egin genuen
an incidental event	bigarren mailako gertaera
incidentally, I want to talk to you about what you said yesterday	aizu eta, atzo esandakoari buruz hitz egin nahi dut zurekin
he inclined his head to say he agreed	burua makurtu zuen, ados zegoela adierazteko
his behaviour inclines me to think he is in trouble	bere jarrerak arazoak dituela pentsatzera narama
to be inclined to do sth	zerbait egiteko joera izan
to be inclined to agree	ados egoteko joera izan
to be inclined to do sth	zerbait egiteko prest egon
the price includes a free colour print	salneurrian koloretako kopia bat sartzen da
to include a document	dokumentua erantsi
five died, including a child	bost pertsona hil dira, ume bat barne
they open everyday, Sunday inclusive	egunero irekitzen dute, igandeetan ere bai
an inconceivable problem	pentsaezinezko arazoa
an inconsiderate person	begirunerik gabeko pertsona
I try to be as inconspicuous as possible	ez nabarmentzen ahalegintzen naiz
to incorporate revisions into a text	testuan zuzenketak gehitu
incorporated company	sozietate anonimoa
you're incorregible!	ez duzu erremediorik!; zurekin ezin da!
to increase the amount of students	ikasle-kopurua handitu
vegetables have increased in price	barazkien salneurria igo egin da
to increase hatred	gorrotoa handitu
increasingly important	gero eta garrantzitsuagoa
incredibly rich	ikaragarri aberatsa
to be incumbent on sb	norbaiten eginkizuna izan
to incur debts	zorrak egin
indecent behaviour	jokabide lotsagarria
indecent books	liburu lizunak
we thought they left the dinner with almost indecent haste	haiek afaritik presaka alde egitea desegokia iruditu zitzaigun
"do you agree?" —; "indeed I do" / "yes, indeed"	—;ados zaude? —;jakina; bai horixe
it is indeed a remarkable achievement	horixe txalotzeko moduko ekintza dela
thank you very much indeed!	eskerrik asko benetan!
an independent questioning	aparteko galdeketa
she is an independent woman	menpekotasunik gabeko emakumea da
independent schools	ikastetxe pribatuak
an indescribable pain	ezin deskribatuzko mina
a true index of his character	bere izaeraren benetako erakusgarria
the thermometer indicates air temperature	termometroak airearen tenperatura adierazten du
he indicated the road we should follow	jarraitu behar genuen bidea erakutsi zigun
he indicated the route on the map	ibilbidea seinalatu zuen mapan
the results indicate the need for a new strategy	emaitzek estrategia berri baten beharra aholkatzen dute
he indicated left	ezkerreko keinukaria piztu zuen
indicative of something	zerbaiten adierazgarria
the book is an indictment of contemporary society	liburuak gaurko gizarteari egiten dio kritika
an indifferent attitude	interesik gabeko jarrera
an indifferent performance	hala moduzko antzezpena
an indifferent meal	erdipurdiko janaria
indirect costs	zeharkako kostuak
indirect question	zehar-galdera
an indiscriminate attack	inor bereizi gabeko erasoa
don't think you're indispensable	ez uste izan ezinbestekoa zarenik
an indisputable evidence	nabaritasun ukaezina
individual decisions	bakoitzaren erabakiak
individual courses	banakako ikastaroak
each individual window is different	leiho bakoitza ezberdina da
they were interviewed individually	banan-banan elkarrizketatu zituzten
I think he is indoors	uste dut barruan dagoela
it's raining, let's go indoors	euria ari du, goazen barrura
to induce somebody to do something	norbaiti zerbait eginarazi; norbait zerbait egitera bultzatu
to induce anger	haserrearazi
a financial inducement	pizgarri finantzarioa
to indulge in shopping	erosketak egitea onartu
to indulge her pasion for poetry	bere poesiarako grinak ase
an industrious student	ikasle behargina
food industry	janari-industria
paper industry	papergintza; paper-industria
economic inequalities	desberdintasun ekonomikoak
an inexhaustible supply	hornikuntza agorrezina
to infer the meaning from the context	testuinguruari esker esanahia ondorioztatu
are you inferring it is impossible it had happened that way?	horrela gertatu izana ezinezkoa dela adierazi nahi duzu?
of inferior quality	kalitate txarragokoa
to make sb feel inferior	norbait gutxiago sentiarazi
the intelligence agency infiltrated three spies into the organization	inteligentzia-agentziak hiru espioi infiltratu zituen erakundean
with infinite patience	pazientzia amaigabearekin
an infinite variety	aukera asko
infinite wisdom	ikaragarrizko jakituria
we've only inflated red and white balloons	globo gorriak eta zuriak bakarrik haizatu ditugu
to inflate the bill	kontua harrotu
the balloon failed to inflate	globo hau ez da puztu
under the influence of alcohol	alkoholaren eraginpean
under the influence of the church	elizaren eraginpean
under the influence of alcohol	alkoholaren eraginpean
under the influence of the church	elizaren eraginpean
an influx of people	bat-bateko jendetza
to inform sb of sth	norbaiti zerbait jakinarazi
did you inform yourself about the weather?	eguraldiaren berri jakin duzu?
it's inherent in her to distrust strangers	ezezagunekin ez fidatzea berezkoa du
to inherit sth from sb	zerbait jarauntsi norbaitengandik
to initiate a reform	aldaketak hasi
his father initiated him into fishing	bere aitak arrantzan irakatsi zion
a foam is injected into the walls to protect them against humidity	hormei aparra injektatzen zaie, hezetasunetik babesteko
inland area	barrualdea
I live a few kilometres inland	barrualdean bizi naiz
inner feelings	barruko sentimenduak
she enquired about my job	nire lanaren berri jakin nahi zuen
she's insensitive to pain	minarentzat soraio da hori
an insensitive answer	erantzun gogorra
he inserted my hand into the hole	eskua zuloan sarrarazi zidan
inside the cupboard	armairuaren barruan
inside four hours	lau ordu baino gutxiagotan
to feel grief inside	barrutik mindua egon
inside pocket	barruko poltsikoa
inside the cupboard	armairuaren barruan
he insinuated his friend was a liar	bere laguna gezurtia zela iradoki zigun
he insisted that he was innocent	errugabea zela errepikatu zuen
we insisted on a refund of the full amount	diru guztia itzul ziezaguten exijitzeari ekin genion
to suffer from insomnia	insomnioa izan
to inspire sb to sth	norbaiti zerbait egiteko burua berotu
to inspire sb with confidence; to inspire confidence in sb	konfiantza inspiratu
instant coffee	berehalako kafea
do you prefer honey instead of sugar?	azukrea baino eztia nahiago duzu?
I came instead	bere ordez etorri naiz
do you prefer honey instead of sugar?	azukrea baino eztia nahiago duzu?
to instruct sb to do sth	norbaiti zerbait egiteko agindu
to instruct sb in sth	norbaiti zerbait egiten irakatsi
to insure the house against theft	etxeko asegurua egin lapurreten aurka
an insurmountable debt	zor gaindiezina
to be integral to sth	zerbaiten funtsezko parte izan
to integrate into the new group	talde berrira egin
intelligent systems	sistema adimendunak
we intended to arrive earlier	arinago heldu nahi genuen
I don't intend staying long	ez daukat denbora luzez egoteko asmorik
the surprise was intended for you	ezustekoa zuretzat zen
the intended purpose	nahitako helburua
a book intended for children	umeentzako liburua
intensive course	ikastaro trinkoa
an intensive investigation	ikerketa zehatza
it wasn't intentional	ez dut nahita egin
places of interest	interesa duten lekuak
to have interest in our plans	gure planetan jakin-mina izan
he has his own interests in mind	hark bere interesak baino ez ditu buruan
mystery stories interested him greatly	misteriozko istorioak asko gustatzen zitzaizkion
to be interested in history	historian jakin-mina izan
interested groups	interesdun taldeak
don't let your parents interfere in your own decisions	ez utzi gurasoei zure erabakietan muturra sartzen
to interfere with work	lana eragotzi
in the interim	bien bitartean
an intermediate stage in the process	prozesuaren bitarteko maila
the internal structure	barruko egitura
an internal flight	barne-hegaldia
to interpret a poem	olerki bat interpretatu
interrogative pronouns	izenordain galdetzaileak
an interrogative sentence	galderazko perpausa
intersecting streets	kale gurutzatuak
he intervened in the process to help them	haiei laguntzeko prozesuan parte hartu zuen
two months intervened	bi hilabete igaro ziren
he intimated to us his decision	bere erabakia eman zigun aditzera
to intimidate people	jendea beldurtu
to get into the car	autoan sartu
I bumped into the chair	aulkiarekin estropezu egin nuen
to translate into Basque	euskarara itzuli
research into corpus linguistics	corpusgintzari buruzko ikerketa
three into fifteen is five	hamabost zati hiru bost da
a political intrigue	azpikeria politikoa
the call intrigued him	deiak kuriositatea eragin zion
the intrinsic value of education	hezkuntzaren berezko balioa
can I introduce my friend?	nire laguna aurkeztu diezazuket?
to introduce a new law	lege berria atera
she introduces a radio program	irratsaio bat aurkezten du
I was introduced to fishing by my uncle	osabak arrantzan irakatsi zidan
the mailbox was inundated with letters	gutunontzia eskutitzez gainezka zegoen
the Americans invade countries that own a lot of oil	estatubatuarrek petrolio askoko herriak inbaditzen dituzte
who invented the braille alphabet?	nork asmatu zuen braille alfabetoa?
what lie did he invent?	zein gezur asmatu dizu?
an inventive mind	buru azkarra
to invert the order of the noun and the verb	izenaren eta aditzaren segida alderantzikatu
he's an inveterate liar	aspaldiko gezurtia da hori
he's a inveterate smoker	erretzaile amorratua da
she invited me to her birthday party	bere urtebetetze-festara gonbidatu ninduen
he invited me for a walk	ibilaldi bat egitera gonbidatu ninduen
to invite trouble	liskarra eragin
we'll invoice you at the end of the month	hilabete bukaeran bidaliko dizugu faktura
to invoice for the shopping	erosketagatik faktura egin
an involuntary movement	nahi gabeko mugimendua
an involuntary listener	oharkabeko entzulea
it involves an element of risk	berekin dakar arriskua
how many houses are involved in the fire?	zenbat etxeri eragiten dio suak?
I don't want to involve them in my problems	ez ditut nire arazoetan sartu nahi
I didn't want to get involved	ez nuen horretan sartu nahi
you're too emotionally involved with this matter	egoera honek gehiegi nahasi zaitu
inward panic	barneko ikara
an inward curve	barruranzko kurba
an irksome task	eginkizun gogaikarria
irreconcilable enemies	ezin adiskidetuzko etsaiak
an irresistible temptation	eutsi ezineko tentaldia
an irresistible laugh	barre erakargarria
irrespective of the origin	jatorria edozein izanda ere
irrespective of the origin	jatorria edozein izanda ere
an isolated farmhouse	baserri aldendua
an isolated incident	gertakari bakana
it's a beautiful picture	argazki ederra da
it's crying	(hura) negarrez ari da
it's hot today	bero egiten du gaur
it's your mother on the phone	zure ama da telefonoan
the baby scratched its face	haurrak bere aurpegia harramazkatuzuen
the oven cleans itself	labe hau bere kabuz garbitzen da
the work itself is interesting	lana bera interesgarria da
the cat did that itself	katuak berak egin du hori
good luck came by itself	zorte ona berez etorri da
the doctor jabbed the needle into my arm	medikuak orratza nire besoan sartu zuen
to jack up the car	autoa katua erabiliz altxatu
to jack up the car	autoa katua erabiliz altxatu
jagged edges	koskadun ertzak
she jammed the luggage into the back of the car	maletak autoaren atzealdean sartu zituen estu-estu (indarrez)
jam the door shut	leihoa atalagaz eutsi zuen
we jammed nearly five hundred magazines into a crate	ia bostehun aldizkari pilatu genituen kaxa batean
the street was jammed with stalls	salmenta-postuz gainezka zegoen kalea
the street was jam-packed with young people	kalea gaztez lepo zegoen
a sudden movement jarred all of his bones	bat-bateko mugimendu batek hezur guztiak astindu zizkion
the constant sound was beginning to jar on her nerves	etengabeko soinu harekin bere onetik ateratzen hasia zen
his friend was jealous of him	laguna jeloskor jarri zitzaion
the audience jeered the singer	entzuleek abeslariari txistu egin zioten
don't jeer unless you can do better	ez barrerik egin zuk hobeto egiten ez baduzu
he jeopardized his life	bere bizitza arriskatu zuen
the bus stopped with a jerk	autobusa, halako astindu baten ondoren, geratu egin zen
in jest	txantxetan, olgetan
to jockey for position	postu hobea lortzeko lehiatu
to join the two points on a graph	grafikoko bi puntuak lotu
I'll join you later	beranduago bilduko naiz zurekin
I've joined a gymnastics class	gimnastika egiteko izena eman dut
a place where the two rivers join	bi ibaiek bat egiten duten lekua
jolly good idea	oso ideia ona
the bus jolted all the passengers	autobusak astindua eman zien bidaiari guztiei
his death jolted us all	haren heriotzak guztiok hunkitu genituen
there's not a jot of truth in what she says	hark dioen horretan ez dago egia bakar bat ere
there's not a jot of truth in what she says	hark dioen horretan ez dago egia bakar bat ere
jubilant crowds	pozez zoratzen dagoen jendetza
to judge a case	kasu bat epaitu
it's difficult to judge the distance	distantzia kalkulatzea zaila da
I judge him about 14	14 bat urte jotzen dizkiot
I judged wrongly	gaizki uste izan nuen
they've jumbled all my clothes	arropa guztia nahasi didate
to jump into the water	uretara salto egin
it made me jump	ikaratu egin ninduen
Lizaso junior follows the same attachment to sing out verses as his father does	Lizaso semeak aitaren bertso-zaletasuna jarraitzen du
the work is just about done	lana amaitzear dago
he's just arrived	etorri berria da
we're just leaving	oraintxe goaz
she's just a child	ume bat baino ez da
you're just in time	puntu-puntuan etorri zara
I just know it!	badakit ordea!
could you just give me the bread, please?	ogia emango didazu, mesedez?
the work is just about done	lana amaitzear dago
that doesn't justify his attitude	horrek ez du bere jokabidea justifikatzen
to justify the decision	hartutako erabakia frogatu
a juvenile behaviour	haurren jokabidea
on an even keel	orekan, orekaturik
he is keen on music	musikazalea da
she is keen on you	gustuko zaitu
to be keen on doing sth / to be keen to do sth	zerbait egiteko gogo bizia izan
to have a keen sense of smell	usaimen zolia izan
to earn one's keep	ogibidea bilatu, bizibidea atera
she was unable to keep back her tears	ezin izan zien malkoei eutsi
to keep information back from sb	norbaiti informazioa ezkutatu
to keep prices down	prezioei behean eutsi
this people has been kept down for years	herri hau zapaldua izan da urte askoan
keep off the grass	ez zapaldu belarra
it's best to keep off politics	hobe da politika ez sartzea tartean
to keep on doing sth	zerbait egiten jarraitu
keep out	ez sartu
the speaker didn't keep to the point	hizlariak ez zion hariari jarraitu
to keep up with sth/sb	zerbaiten/norbaiten mailari eutsi
to keep sb waiting	norbait zain eduki
that will keep her busy	horrek lana emango dio
keep the change!	atzerakoak zuretzat!
keep your passport in a safe place	gorde ezazu pasaportea leku seguruan
to keep a secret	sekretu bat izan, sekretu bat gorde
to keep sb from doing sth	norbaiti zerbait egitea galarazi
you're an hour late -what kept you?	ordubete berandu zatoz; zerk luzarazi zaitu?
I think she is keeping sth from me	zerbait ezkutatzen didala uste dut
to keep fit	sasoiko egon
keep still!	egon geldi!
to keep on doing sth	zerbait egiten jarraitu
she was unable to keep back her tears	ezin izan zien malkoei eutsi
to keep information back from sb	norbaiti informazioa ezkutatu
to keep prices down	prezioei behean eutsi
this people has been kept down for years	herri hau zapaldua izan da urte askoan
keep off the grass	ez zapaldu belarra
it's best to keep off politics	hobe da politika ez sartzea tartean
to keep on doing sth	zerbait egiten jarraitu
keep out	ez sartu
the speaker didn't keep to the point	hizlariak ez zion hariari jarraitu
to keep up with sth/sb	zerbaiten/norbaiten mailari eutsi
in sb's keeping	norbaiten ardurapean
to leave sth/sb in safe keeping	zerbait/norbait esku onetan utzi
the latest results are in keeping / out of keeping with our earlier findings	azken emaitzak bat datoz / ez datoz bat gure lehengo ondorioekin
the kernel of the message	mezuaren muina
to put the kettle on	ura irakiten jarri
key ring	giltzatakoa
the key to success is preparation	prestakuntza da arrakastaren gakoa
the key of E	mi tonua
off key	desafinatuta
the key issue	faktore nagusia
keystone	giltzarria
just for kicks	plazer hutsagatik
I get a kick out of skiing	asko gozatzen dut eskiatzen
kick back and enjoy the summer	lasai hartu eta gozatu uda
he was kicked out of the party	festatik kanporatu zuten
to kick up dust	hautsa harrotu
to kick up a fuss/row	iskanbila sortu
to kick a ball	baloia jaurti
to kick a goal	gola sartu
to kick a habit	bizio bat kendu
kick back and enjoy the summer	lasai hartu eta gozatu uda
he was kicked out of the party	festatik kanporatu zuten
to kick up dust	hautsa harrotu
to kick up a fuss/row	iskanbila sortu
kid brother	anaia gaztea
are you kidding?	adarra jotzen ari zara?
I tried to kid myself (that) everything was normal	dena ongi zihoala sinetsarazi nahi nion neure buruari
to kill the flavour of sth	zerbaiten zaporea kendu
my feet are killing me	izugarrizko mina dut oinetan
to kill time	denbora pasatu
his next of kin has been informed	bere ahaide hurbilari jakinarazi diote
his next of kin has been informed	bere ahaide hurbilari jakinarazi diote
a very kind and helpful person	pertsona atsegin eta lagunkoia
that's very kind of you	eskerrik asko, oso atsegina zara
would you be kind enough to close the window?	itxiko duzu leihoa, mesedez?
music of all kinds	mota guztietako musika
the chef gave us a kind of soup	sukaldariak zopa-moduko bat atera zigun
I have heard nothing of the kind	ez dut halakorik entzun
they're two of a kind	berdin-berdinak dira
to pay in kind	gauzaz ordaindu
would you kindly sign the book?	sinatuko duzu liburua, mesedez?
kindred spirit	gogaide
kiss of life	ahoz ahoko arnasketa
the ambassador kissed the queen's hand	enbaxadoreak erreginari eskuan muin egin zion
they're kissing	musuka ari dira
tool kit	erreminta-kaxa
first-aid kit	lehen sorospenetarako botika-kutxa
she's got a knack for languages	iaioa da hizkuntzetarako
don't worry, you'll get the knack of it	zaude lasai, laster hartuko diozu tamaina
to be/get on one's knees	belauniko egon, jarri
to knit together	batu, elkartu
a close-knit community	oso harreman estuak dituen komunitatea
to give a knock at the door	atea jo
to take a knock	ezbehar bat pairatu
to knock sb on the head	norbaiti kaskarreko bat eman
to knock sb over	norbait erorarazi
to knock sth over	zerbait irauli
he knocked a hole into the wall	horman zulo bat ireki zuen
to knock on the window; to knock at the door	leihoa jo; atea jo
to tie/untie a knot	korapiloa egin/askatu
to tie the knot	ezkondu
to be in the know	jakinaren gainean egon
to know English	ingelesez jakin
I know how to swim	badakit igerian
I know that you're sad	badakit triste zaudela
to get to know sth	zerbaitez jabetu, zerbaiten berri izan
let me know if you can come	esaidazu etortzerik ba ote duzun
I know your brother	zure neba ezagutzen dut
to get to know sb	norbait ezagutzera heldu
to know of/about sth	zerbaiten jakinaren gainean egon
you know	badakizu, zera
who knows?	batek daki! auskalo!
as far as I know	nik dakidala
a knowing wink	konplizitatezko keinua
it is common knowledge that...	denek dakite...
to the best of my knowledge	nik dakidala
scientific knowledge	ezagutza zientifikoa
he's a known thief	lapur ezaguna da
a lab technician	laborategiko teknikaria
the size of the T-shirt is on the label	etiketan daukazu kamisetaren neurria
shoes with a designer label	diseinatzailearen marka duten zapatak
I labelled my parcel before it was sent	bidali aurretik etiketatu nuen nire fardela
a laborious task	lan nekeza
the bill includes the labour and the material	fakturaren barnean doaz lana eta materiala
a shortage of labour	langile-urritasuna
manual labour is costly	eskulana garestia da
Liz had an easy labour	Liz-ek erditze erraza izan zuen
we laboured all day to build the new house	egun guztian gogotik lan egin genuen etxe berria eraikitzeko
coffee laced with brandy	kafea brandy pixka batekin
vitamin deficiency	bitamina-gabezia
we lack storage space	ez dugu gauzak gordetzeko tokirik
he just lacks a little confidence	konfiantza pixka bat falta zaio
she got a laconic answer	erantzun lakonikoa jaso zuen
after work, I went to the pub with the lads	lanaren ondoren, tabernara joan nintzen lankideekin
laden with presents	opariz beteta
welcome, ladies and gentlemen!	ongi etorri, jaun-andreok!
there is a lady waiting for you	emakume bat dago zure zain
he is lagging behind the rest of the runners	beste korrikalarien atzean geratu da
to lag the pipes	hodiak isolatzailez estali
lamb chops	arkume-txuletak
she lamented her fate	bere patua deitoratu zuen
he lamented (over) his death	haren heriotza deitoratu zuen
a lamentable state	egoera negargarria
oil lamp	olio-lanpara
to lance an abscess	abzesu bat lantzetaz ireki
a journey by land	lehorrez egindako bidaia
a fertile land	lur emankorra
the native land	jaioterria
he landed at the end of the stairs	eskaileretan behera, lurreraino erori zen
the Guggenheim Museum is a landmark of Bilbao	Guggenheim Museoa Bilboko oso toki ezaguna da
a landmark in the history of computing	mugarria informatikaren historian
they won a landslide victory	erabateko garaipena lortu zuten
sign language	zeinu-hizkuntza
street language	kale-hizkera
a languid wave of the hand	agur makala
lapse of memory	oroimen-lapsusa
after a lapse of a week he came back again	aste bateko tartearen ondoren berriz bueltatu zen
lapse of judgement	hutsegitea
the contract lapses in two months	kontratua bi hilabete barru amaituko da
he lapsed back into betting again	berriz ere apustuan hasi zen
the view of the critics at large was sharp	kritikarien ikuspegia oro har zorrotza izan zen
the criminal is still at large	kriminala oraindik ere solte dago
a large sum of money	diru kopuru handi bat
large room	gela zabala
I like this skirt, but I need the large size	gona hau gustatzen zait, baina neurri handia behar dut
a large and complex argument	argudio zabal eta konplexua
the view of the critics at large was sharp	kritikarien ikuspegia oro har zorrotza izan zen
the criminal is still at large	kriminala oraindik ere solte dago
your declarations are largely wrong	zure adierazpenak neurri handi batean oker daude
to be largely known	bereziki ezaguna izan
laser beam	laser-izpiak
to lash somebody as punishment	norbait zigortu
to lasso a calf	txahala lakioz harrapatu
last week	aurreko astean
we still have the last one	oraindik bat gelditzen zaigu
to last two hours	bi ordu iraun
to last in the job	lanean jarraitu
in a last-ditch attempt	etsi-etsian
lasting effect	efektu iraunkorra
lastly, add the tomato sauce	amaitzeko, gehitu tomate-saltsa
lastly, I'll explain the results	azkenik, emaitzak azalduko ditut
finally, he latched on to the truth	azkenean, egia zein zen ulertu zuen
finally, he latched on to the truth	azkenean, egia zein zen ulertu zuen
let's go home, it's late	goazen etxera, berandu da
to be late	atzeratu
the train is half an hour late	trena ordu-erdi atzeratu da
at the end of the summer	uda amaieran
the late director	zuzendari ohia
a later chapter	ondorengo kapitulua
the later news	orain dela gutxiko berriak
see you later!	gero arte!
lateral door	alboko atea
her latest poems	bere azken olerkiak
a Latin expression	esapide latindarra
Latin texts	latinezko testuak
the latter of the two is the best one	bietatik azkena da onena
laudable aim	helburu goresgarria
to laugh loud	lehertu beharrean barre egin
a laughable idea	ideia barregarria
to roar with laughter	barre-algara egin
fishing boat	arrantza-ontzia
the new launch will be in September	plazaratze berria irailean egingo da
to launch a missile	misila jaurti
they have launched a new book	liburu berria plazaratu dute
they have painted and launched the boat again	txalupa pintatu eta uretaratu dute berriz ere
the clean laundry	gobada garbia
the hotel laundry	hoteleko ikuztegia
