 A certain	 léi 
To kick	 'adishtał  
To kick	 'aditał 
To kick each other	 'ahííníitaał 
To kick him in the genital area	 baa 'iishtał 
To kick him in the groin	 yaa ń'diiłts'in 
To kick him out	 ch'íbízhníshtaał 
To kick him over	 naa'abíjíshtaał 
To kick him to death	 bił nizhnishtaał 
To give him a kicking	 bitł'aayah 'ajiishtaał 
To kick it into the air	 yáábíjiishtaał  
To kick off	 'iishtał 
To kick oneself	 'ádík'ee yishcha 
To let fly a kick	 'ajishtaał 
To let fly one kick after another	 'ajiishtaał
His kids	 bitsíłkę'
To be merely kidding	 t'óó 'ádíshní
Kidneys and associated organs	 'atsą́'áshch'ozh 
Kidney inflammation	 'achą́'áshk'azhí dideeshchii'
To be killed by lightning	 'ii'ni' biisxį́ 
To be killed by thirst	 dibáá 'ábíłdįįh 
To kill him with a slingshot	 bil nizhnishtł'in 
"To ""kill it"""	 ninishdlį́į́h 
To kill it	 sisxé 
To kill it by smothering it	 bíchį́į́h dádiistsóód 
To kill one of his relatives	 bąąh 'iishhé 
To kill the motor	 tó bił niigeeh 
To start to kill him	 bi'niishhééh 
To be kindly toward him	 bich'į' sih nisin
To be kindly toward him	 bich'į' sih nisin
His kinfolk	 bik'éí 
Kinfolk	 'atí'íziní
King of hearts	 zhéí góobas 
King of diamonds	 zhéí 'óola 
King of clubs	 zhéí báasdos 
King of spades	 zhéí 'asbáala
His kinsman	 bik'éí
To kiss her	 nánísts'ǫ́s
To knead it	 taoshnih 
To knead oneself	 ná'ádinish'nih
Above the knee	 'agostis 
Around the knee	 'agodta' gónaa 
At the knees	 'agodta'gi 
Knee deep	 'agodta'go 
Kneecap area	 'agodta' 
Knee joint	 'ajáád 'ahą́ą́h nániidilí 
Midway on the knee	 'agodta'
To be in a kneeling position	 ntsidííníshgo' 
To kneel down	 nishjooł
Bread knife	 bááh bee nehelgéshí 
Paring knife	 béésh bee 'élzhéhé 
Pocket knife	 biih náwo'í 
Penknife	 biih náwo'í
To be knocked over	 bił naa'iiyóół 
To knock it off	 k'íníshhaał) 
To knock him over	 naa'abídzísts'in 
To knock it over	 naa'abídzíssxooł 
To knock it over	 naa'abíjíshdon 
To knock it over	 naa'abíjíshhaał 
To knock him over	 naa'abíjíshkaad 
"To ""knock oneself out"" for him"	 baa naanish biiłhé 
To knock	 hadahashkaad 
To knock	 nabízhdi'yiishdon 
To knock	 nabízh'diishdon 
To knock them over	 naa'ahishnííł
Knock-kneed person	 jáád 'ahókaałí
To tie a knot in it	 be'eshtł'ó 
To become knotted together	 'ahiijash 
To be knotted	 yishjash
Before I knew it	 t'áadoo baa 'ákoniizį́'í 
Damned if I know:	 hóla héi! 
I don't know	 hóla 
 don't know how	 ha'át'éegoóńshą' 
 don't know how	 haánee' yit'éego 
 don't know where	 háadińshą' 
 don't know when	 háadińshą' 
 don't know who	 háíńshą' 
 don't know why	 ha'át'éegoóńshą' 
To be known about	 bééhózin 
To come to know about it	 bił bééhoozįįh 
To come to know him	 bééhonissįįh 
To know it	 bił bééhózin 
To know it	 hweesh'į́ 
To know things	 bił 'ééhózin 
To know what to do	 bí'deeshłíiłii shił bééhózin 
To make it known	 ch'ínísh'aah 
To be common knowledge	 t'áá bééhózínígo 'át'é 
To have knowledge	 bił 'ééhózin 
To have knowledge of it	 bił bééhózin 
To claim to have no knowledge of it	 doo 'ádił bééhoniszin da 
There is knowledge about it	 bééhózin 
Knowledge comes to exist about it	 bééhoozįįh
To be well known	 béého'dilzin
Manual labor	 gaanee naanish 
To go into labor	 'i'niishchííh 
To start to have labor pains	 'i'niishchííh 
To go into labor with it	 bi'niishchííh
To start to labor	 dishníísh
To come to lack it	 bee 'ádįįh 
To lack what it takes	 bi'oh neesh'ą́ 
Extension ladder	 haaz'éí 'ahą́ą́h ńdaditsihígíí
To ladle it out	 bii' hahashkaah
Ladies and Gentlemen .. 	 hastóí dóó sáanii
Pet lamb	 béhé
To be lame	 na'nishhod
Electric lamp	 'atsiniltł'ish bee 'adinídíín 
Kerosene lamp	 tókǫ́'í bee 'adinídínígíí
To land in it	 bił nidaah 
To land	 ni' nikéé'íldééh 
To land in a balloon	 bił hadaaldo 
To land	 bił 'anidaah 
To land on one's rump with it	 bił nishjį́į́d 
To land in the water	 taah násééh 
To fall and land on a surface	 bikáa'jį' nikídiishgeeh 
To fall and land on one's head	 sitsiits'iin bee nikídiishgeeh 
To land on the ground	 ni' nikiniidééh 
Land animals	 nihookáá' naaldeehii
The Navajo Language	 Diné bizaad 
The English language	 Bilagáana bizaad 
The Spanish language	 Naakaii bizaad 
To use foul language	 bizáhóchį'
In his lap	 bitsék'eegi 
To start lapping liquid	 'i'niiłch'ááł 
Lard bucket	 'ak'ah bizis
To be equally large	 'aheeníiltsááz 
A large number of enemies	 'ana'í bizhiin 
A heavy rainstorm	 níłtsą́ bizhiin 
Two color larkspur	 k'ihooteelí
Muscles of the larynx	 'azoołtsį' 
On the larynx	 'azooł dah yisk'idígi
To lash back at him	 bik'ijį' 'ahitáád 
To lash about with a whip	 naaná'eestsxis 
To lash him to it	 bíhéshtł'ó 
To lash them together	 'ahíhéshtł'ó 
To lash each other	 'ahííníiltsxáás
Last winter	 haidą́ą́' 
Last summer	 shį́į́dą́ą́' 
Last spring	 dąądą́ą́' 
Last fall	 'aak'eedą́ą́' 
At last	 hónáásii' 
The last one	 'akéédę́'ígíí 
The last straggler	 'akéédę́'ígíí
To last for	 nineełnééh 
To make it last	 bił k'íhwíínéesh'niił
Before it's too late	 t'ahádą́ą́' 
To be late for it	 bilááhgóó 'e'elkeed
At a still later date	 náás nááhodeeshzhiizhgóó 
Later on	 'áádóó bik'ijį'
To be laughing about it	 baa yishdloh 
To laugh about it	 baa ch'ídinishdlóóh 
To make him burst out laughing	 ch'íbidinishdlóóh 
With laughter	 dlooł 
To roll with laughter	 dlooł naa'anásmas
To be launched	 baa ń'diildééh
Light weight porous lava rock	 'asootse'
To be against the law	 doo bee haz'ą́ą da 
To break the law	 'ádąąh dah hoshisht'aah 
To make it a law	 bee hoosh'aah
To be lax about getting things done on time	 t'óó bił 'ánísht'é
To be laid up with it	 bąąh dah has'ą́ 
To lay it	 yiłchí 
To lay one's hands on it	 bikáá' ndinishchííd 
To lay him against it in a reclining position	 bíbiniishteeh 
To lay him down	 binishteeh 
To lay them down	 binishteesh 
To lay them down	 binishjeeh 
To lay him down against it	 bíniishteeh 
To cover it with a smooth layer	 bik'idiishkǫǫh
To be lazy	 doo yish'áa da
To be going to lead it	 délóóz 
To be going to lead them along	 dé'eezh 
To be leading it along	 yisłóós 
To be leading it around	 naanáásłóós 
To be leading them around	 naanáásh'ish 
To lead around here and there	 tá'dííkéé' 
To lead away	 'abikéé' 
To lead down	 hadah 'abikéé' 
To lead him back	 nánísłóós 
To lead them back	 nánísh'éésh 
To lead him to a place and back	 nisélóóz 
To lead him on	 náás neesh'ah 
To lead it to him	 baa nisłóós 
To lead it around	 naasłóóz 
To be leading them around	 naash'eesh 
To lead it around in a circle	 'ahénásłóós 
To lead them around in a circle	 'ahénásh'éésh 
To lead it around it	 binásłóós 
To lead them around it	 binásh'éésh 
To lead them as far as	 ninish'éésh 
To lead it away	 'iisłóós 
To lead it away and disappear with it	 yóó' 'iisłóós 
To lead them away	 'iish'éésh 
To lead them away and disappear with them	 yóó' 'iish'éésh 
To lead it inside	 yah 'iisłóós 
To lead them in one after another	 yah 'ahasłóós 
To lead it to water	 taah yisłóós 
To lead them into it	 biih yish'éésh 
To lead them to the water	 taah yish'éésh 
To lead them into it one after another	 biih hisłóós 
To lead them into it one after another	 biih hish'éésh 
To lead them to water	 taah hish'éésh 
To lead it out	 ch'ínísłóós 
To lead them out one after another	 ch'éhésłóós 
To lead them out	 ch'ínísh'éésh 
To lead them out one after another	 ch'éhésh'éésh 
To lead it out	 ch'ínísłóós 
To lead them out one after another	 ch'éhésłóós 
To lead them out one after another	 ch'éhésh'éésh 
To lead it to safety	 yisdásłóós 
To lead them to safety	 yisdásh'éésh 
To lead them one after another to safety	 yisdáhásłóós 
To lead them to safety one after another	 yisdáhásh'éésh 
To lead it up out	 haasłóós 
To lead them up out	 haash'éésh 
To lead them out one after another	 hahasłóós 
To start leading it along	 disłóós 
To start leading them along	 dish'éésh 
To start off leading it	 dah diisłóós 
To start off leading them	 dah diish'éésh 
Trail leading away	 'abitiin 
Trail leading in	 yah 'abitiin
Our leaders	 nihadahastóí 
Peace leader	 hózhǫ́ǫ́jí naat'ááh 
War leader	 hashkééjí naat'ááh 
To be a leader	 'á yishááł 
To be their leader	 bá yishááł 
To be their leader	 bá 'alą́ąjį' dah sédá
To leak through it	 bighánééh 
To spring a leak	 biníkádlaad
To lean back	 t'ą́ą́' niiyeed 
To lean forward	 yiishyíísh 
To lean over it	 báátis yiishyíísh 
To lean him against it in a reclining position	 bíniishteeh 
To lean it	 nikidiistsééh 
To lean on it	 bidiishkaal 
To lie down with him	 bił bíniishjeeh 
To sit down and lean against it with him	 bił bíniishbįįh 
To sit leaning against it	 binahjį' kíniishdá 
To sit leaning against it with him: bił bíniishké	 bił bíniishbin 
To stand leaning against it	 bíniissį́ 
To stand up and lean against it	 bíniissįįh 
To leap up in one's sleep	 ńdiishgą́ą́sh 
To learn	 'íhoosh'aah 
To learn many things	 t'ááłą́ą́góó 'íhoosh'aah 
To learn it	 bíhoosh'aah 
To learn it from him	 bá bik'i'diishtįįh 
To learn about it	 yishniih 
To learn a lesson	 honissąąh
To make leather	 'assééh 
Leather rattle	 'akał 'aghááł
To fly off and leave each other	 'ałhaa dáádiit'ááh 
To go off and leave each other	 'ałhaa dáádiit'aash 
To leave them	 bits'ánéiikááh 
To leave him behind	 biishdaah 
To leave them	 biishkeeh 
To leave one after another	 'ada'iildééh 
To leave them dead	 'ábíłdįįh 
To łeave with him	 bił dah diishkááh 
To want to leave it	 bits'ábíni'
Rock ledge	 tsétát'ah 
On a high ledge	 bitát'ahdi
On your left	 ninishtł'ají 
From the left	 nishtł'adę́ę́ 
From my left	 shinishtł'adę́ę́' 
Toward the left	 nishtł'ajigo 
To be left	 yidziih 
To be left	 yisdziih 
To be the only one left	 t'áá shí t'éiyá yisdziih 
To be left over time after time	 ch'íhiniłnééh 
To be ieft out	 bé'échééh 
To be lefthanded	 nishtł'a 
To get left out	 bi'oh 'aniłnééh 
To get left out on things	 t'áá bídin haleeh
Leftovers	 bi'oh nda'iisdą́'ígíí
Along the leg	 'ajáád bąąh 
Around the lower leg	 'adzástis gónaa 
Between the legs	 'ajáágiizh 
From the back of the leg	 'ajáád bine'dę́ę́' 
From the back of the upper leg	 'ajááyaadę́ę́' 
From the front of the leg	 'ajáádááhdę́ę́' 
From the side of the leg	 'ajáád biniidę́ę́' 
From within the leg	 'ajáád biyi'dóó 
Hollow of the leg	 'ajááyah 
One-legged	 bijáák'is 
On the leg	 'ajáád bąąh 
On the back of the lower leg	'ach'ozhgi 
The back side of the leg	 'ajáád bine'dę́ę́' 
The side of the leg	 'ajáád biniidę́ę́' 
To be big-legged	 'ayóí 'ááshjáád 
To get one's legs around his throat	 bizénáshk'aih 
To have one's legs stretched out side by side	 k'ídííníshzhoozh 
To have the legs drawn back	 'ahądííníshją' 
To look like one is on one's last legs	 doo baa dzólníi da 
To put one's legs around it	 bináshk'aih 
To stick out one's legs	 k'ídís'éés 
To stick one's legs out straight	 k'ídíshzhóósh 
Upper leg muscle	 'atahazhosh
To be legal for him	 bee bá haz'ą́ 
To be legal for them	 bich'į' 'ąą 'át'é
Buckskin leggings	 'abaní yistłé 
In length	 náásee 
Of indeterminate length	 haashį́į́ níłnéezgo
To break it lengthwide	 'ałtániishtííh 
To chop it apart lengthwise	 'ałtániishkaał 
To chop it in two lengthwise	 'ałk'íniishne' 
To chop or pound it apart lengthwise	 'ałtániishne' 
To rip it apart lengthwise	 'ałtániishdlaad 
To saw it in two lengthwise	 'ałtániishshííh 
To split it lengthwise	 'ałk'íniishshóósh
Less than it	 bi'oh 
Less than self	 'ádí'oh 
Less than half	 'ałníí' t'áá bich'į'go
Lesson plans	 bíhwiidoo'áłígíí binahat'a' 
To give lessons	 na'nishtin 
To give lessons in it	 bina'nishtin 
To give him lessons	 nanishtin 
To give him lessons in it	 bínabinishtin 
"To ""learn one's lesson"""	 honissąąh
Let me through (gangway	 make way)! 'akóóh! 
Let's go	 you guys! Sołtį'! 
To let a fart	 'ashtł'ííd 
To let go of it	 bidistsééh 
To let go of it	 bidishchííd 
To let him	 badi'nish'aah 
To let them out	 ch'íníshnííł 
To let up	 'iiyóół
Without let-up	 t'áadoo bita' 'ahodeest'ání
There is a level spot	 'ahíhoneel'ą́
To be a liar	 biyooch'ííd
Dog lice	 łééchąą'í biya' 
To get it infested with lice	 yaa' t'éiyá 'áshłééh
Ground lichen	 ni' hadláád
To start to lick it	 bi'niishnaad 
To lick it	 yishnaad 
To lick one's lips	 dishno' 
"To ""lick"" him"	 bik'ehdishdleeh 
"To be ""licked"""	 bik'ehodidleeh
Wild licorice	 'ałta'neets'éhiits'óóz
To put a lid on it	 bidadinish'aah 
To take the lid off it	 bą́ą́'dísh'aah
To lie	 híí'ą́ 
To extend upward	 deigo deez'á 
To lie extending across	 naaniigo deez'á 
To lie	 dah siziid 
To lie close to him	 bíshíshjéé' 
To lie close together	 'ahíshiiljéé' 
To lie guarding it	 béséłtį́ 
To lie in a heap	 díínísh'á 
To lie in a loose pile	 naneez'á 
To lie snuggled against each other	 'ahíshiiljéé' 
To lie sleeping	 'ashhosh 
To lie stiff	 k'éshjííł 
To lie with one leg drawn back and the other one draped over the knee	 'ałk'i dah séłtą́ 
To lie with one's back to the fire	 hoot'áshíshjįzh 
To make him lie down	 binishteeh 
They lie around it	 bináhaazlá 
Life style of the White people	 Bilagáana be'iináájí 
Life style of the Navajo people	 T'áá Diné be'iináájí 
To be full of life	 biinéíí 
To bring it to life	 hiishnaah 
To be coming back to life	 náheesh'naał 
To come to life	 hiishnaah 
To make it come to life	 hiishnaah 
To serve a life sentence in the penitentiary: 'awáalya góne' są́ biiłhé	 'awáalya góne' są́ bighą́ 
To take his life	 sisxé
To lift it up	 de 'áshłééh 
To lift up one's foot	 dah bidiis'éés 
To lift one's feet up	 yadidiis'éés 
To lift up one's hand and arm	 yadidiishnííh
Electric light	 'atsiniltł'ish bee 'adinídíín 
Electric light switch	 bee ńda'diltłi'í 
To be a light sleeper	 'ayóo 'ashniih 
To be equally light in weight	 'aheeníilzólí 
To be light	 dínéeshch'ozh 
To be lit up	 hool'įįh 
To go along shining a light	 'adeeshdlał 
To produce light	 'adiníłdíín 
To turn on the lights	 'adiishtłáád
To light the lights	 'adiishtłáád 
To light it	 diishtłáád
Lightning charcoal	 'ii'ni't'éézh 
Sheet lightning	 'atsoolaghał 
To be a bolt of lightning	 'atsiniltł'ish 'ahitáád 
To be contaminated by a bolt of lightning	 bił hodiitł'íísh 
To be killed by lightning	 'ii'ni' biiłhé 
To flash	 jiilgéésh
Like him	 bik'ehgo 
Like this	 díigi 'át'éego 
To be like it	 beełt'é 
To be almost like it	 t'óó bit'áhájį' 'át'é 
To do like him	 be'esh'į 
To be like him	 bił 'ahinisht'é 
To be well-liked	 bá 'áhwiinít'į́ 
To like it	 bił yá'áhoot'ééh 
To like it very much	 bíchą́ yídéeshni' 
To not like it	 doo bił 'aaníi da 
I would like to go to	 -góó shíni' 
To be limber	 nanil'eeł
A black line extends away	 'adííłhééł 
Boundary line	 hoodzo 
Fishline	 łóó' bee hahadleehé bitł'óól 
Lines overlap	 'ałnáozt'i' 
Major lines of the palm	 'álák'ool 
There are lines of hills	 'ahidadiilk'id 
They are separated by a line	 'ałch'áádzo 
Wavy line	 deelzhah 
To be drawing a line	 'eessoh 
To be in a line	 'ałkéé' nít'i' 
To be lying in a line one behind another	 'ałkéé' niitį́ 
To be (moving	 extending) in a line yit'ih 
To be sitting in a line	 'ałkéé' niidá 
To be standing in line	 'ałkéé' niidzį́ 
To be lying in a line	 'ałkéé' niitį́ 
To draw a line around it	 biná'ássoh 
To draw a line	 'iissoh 
To draw lines on oneself	 'ák'ina'asdzo 
To form a line	 diit'ééh 
To form a line around it	 binás'á 
To make a line	 'iissoh 
To mark a series of lines	 'ahehessóóh 
To stretch back in a slender line	 'anáát'i'  
Yard line	 ha'naa na' idzooígi
To line them up one behind the other	 'ałkéé' disht'ééh 
To line up	 diit'ééh 
To line up one behind another	 'ałkéé' diit'ééh
African lion	 náshdóítsoh bitsiijį' daditł'ooígíí 
Thick-lipped person	 daadílí 
To be thick-lipped	 bidaa' ń'deeshchid 
Depression between the upper lip and the nose	 'áchį́į́shtł'ah
The liquid contained in the eyeball	 'anátoo'
To be listed in sequence	 'ałkéé' yisdzoh 
To be listed on it	 bik'i danít'i' 
To list	 naanii hóóniił 
To listen to it	 yínísts'ą́ą́' 
Listen! Hark	 listen! ge'! Ge' 'íísíníłts'ą́ą́'!
Little one	 'azházhí 
A little ways farther on	 ńléí 'ákohdi 
A little ways from	-dóó ńléí 'ákohdi 
For a little ways	 ńléí 'ákohgóó 
To be quite little	 daa nishyázhí 
To live as his neighbor	 bił kééhasht'į́ 
To live beside it	 bíshíłghan 
To live off it	 bee 'i'dishnah 
To live together as man and wife	 'ahísiilké 
To live together	 'ahaa niit'aash 
To live with him 	 bił 'ahísíské 
To live with him	 bił 'ahaa nisht'aash 
To not expect to live	 doo na'ádííníshdlíi da 
To keep struggling to live	 'eeshdįįł
Resources for one's livelihood	 bee 'iináanii 
To be one's source of livelihood	 bee 'i'dishnah 
To get one's livelihood from it	 bee hinishná
To be liver-lipped	 bidaa' ń'deeshch'id
Unproductive livestock	 na'aldloosh doo 'ádíná'iilt'e'ii
To be living	 hinishná '
Green lizard	 na'ashǫ́'ii dootł'izhí 
Gray lizard	 na'ashǫ́'iiłbáhí 
Striped lizard	 na'ashǫ́'ii noodǫ́zígíí
To load it	 bee'eldǫ́ǫ́h bikǫ' dóó bee'eldǫ́ǫ́h bik'a' biih yishkaad 
To load it into it	 bii' hééł 'áshłééh 
To load it up	 bii' hééł 'é'éshłééh 
To take part of a load off	 bidishheeh
To make loans to them	 bąąh hadaastsééh
To lock it	 'ahishtáád 
To lock him in	 bidádi'nishkaał 
To lock them together	 'ahidiniilzhah
To get lockjaw	 dádiistsxah
Lambert locoweed	 dibé nát'oh
Locust shell	 wóóneeshch'į́įdii bits'a'
Loin	 'atségah
To get lonesome	 bił hodiik'ąąh
To get lonely	 bił hodiik'ąąh
To be longed for	 bidáhonooní 
To long to go	 bíni' 'íít'i' 
To long to go back	 nát'ą́ą́' shíni' 'anáát'i'
A long time	 'as'ah 
A long time ago	 'ałk'idą́ą́' 
As long as can remember	 t'áá ńléídę́ę́' 
As long as I live	 ni'níłdįįd bijį́įjį 
How long haa nízahjį' (How long does it last	 haa nízahjį' 'ánádįįh?) 
How long?	 doozáagi 
How much longer?	 doozáagi 
I wonder how long ago	 hádą́ą́dą́ą́' shį́į́ 
I don't know how long ago	 hádą́ą́'anshą' 
I wonder how long	 haashį́į́ nízah 
It won't be long until	 t'áá niihąądí 
Long	 doo deeghání 
Quite long	 haashį́į́ niłnéezgo
The long way	 náásee
Long-haired goat	 tł'ízí 'ilí 
Long-haired sheep	 dibéts'oozí
Look! lookie!	 shoo! 
Look and see for yourself	 jóge'énee'dą́ą́' 
Look out!	 'akóóh! 
To avoid looking at him	 bínii'oh daashhal 
To be going along looking for sex	 'eeshchah 
To be looking for a chance to get him	 bíká yish'ááł 
To be looking through it	 biníkádínísh'į́į́' 
To be looking for it	 hanishmą'ii 
To look	 'áásht'eeł 
To look after him	 baa 'áháshyą́ 
To look alike	 'ahiniidlin 
To look among them	 bitaashhal 
To look around	 naashhal 
To look around	 tádíshhaał 
To look around slowly	 nanisht'á 
To look around for it	 hadists'i' 
To look at each other	 'ahiníil'į́ 
To look at his genitals	 baa 'anísh'į́ 
To look at it	 nísh'į́ 
To look at it this way	 kót'éego nísh'į́ 
To look at it that way	 t'áá 'ákwíinissin 
To look at oneself	 'ádinísh'į́ 
To look for it	 hásht'į́ 
To look inside furtively	 yah 'anishne' 
To look it over	 haassííd 
To look out of the corner of one's eye	 biníchxooshtł'ah bee désh'į́į́' 
To look this way	 kónísht'é 
To look through it	 biníkádísh'įįh 
To look up to him	 shił nlį́ 
To look upon it with longing	 bidánísh'į́ 
To look with a telescope or binocular	 bee 'adéest'į́į́' bee dínísh'į́į́' 
To start back to look for it	 hánínádíníshtááh 
To start looking for it	 hádinétą́ą́' 
To start to look for it	 bíká hodishch'iid 
To take a look outside	 ch'íninisht'aah 
To keep a lookout for him	 bíká désh'į́į́'
Lower crossbeam of a loom	 'á sitą́ 
Upper and lower loom poles	 'atł'ótsin
To throw a loop at it	 yíníishłeeh 
To toss a loop over it	 łoh bąąh ninishne'
To break loose and fall away	 n'diishtłíísh 
To lope along on it	 bił nooltį́į́ł 
To go at a lope	 bił díníltįįh 
To lope around it	 yináníltįįh 
To start to lope	 díníltįįh
To be losing time	 'akéédę́ę́' yilkił 
To be losing one's hearing	 doo 'adiists'a' da yishłeeł 
To be lost from it	 biditłíísh 
To lose a heel	 bikétal n'diilts'id 
To lose hope	 doo na'ádííníshdlíi da 
To lose interest in it	 doo yishdįįh da 
To lose it through stupidity	 be'esdzááh 
To lose its benefits	 bits'ą́ą́' t'áá 'ádzaagóó yileeh 
To lose it	 bii' hadishtaał 
To lose him or her by death	 bits'ą́ą́' daatsaah 
To lose it	 bii' hadishchííd 
To lose one's bearings: yóó' 'e'esht'ááh	 yóó' 'e'esh'eeł 
To lose one's footing	 'ałtádiisxaas 
To lose one's grip on it	 baa diishchííd 
To lose one's head	 'ádił hodiishjáád 
To lose one's hearing	 doo 'adiists'a' da yishłeeh 
To lose something	 bigha'ílyé 
To lose the ability to do something	 yóó' 'anáhághááh 
To lose them one after another	 yóó' 'ahishnííł 
To lose them	 hanidééh 
To lose them	 háánídééh 
To gallop off and get lost	 yóó' 'aniltįįh 
To fall away and get lost	 yóó' 'iishtłíísh 
To get lost	 yóó' 'e'esht'ááh 
To get lost	 bidínídééh 
To go away and get lost	 yóó' 'iildlóósh 
A lot	 'adih 
A lot of things	 háíshį́į́ 'íiyisíí 
To make a lot of them	 'ádaashłééh
To put lotion on it	 yishtłah 
To start to put lotion on it	 bi'niishtłah
Human louse	 diné biya' 
Plant louse	 ch'il biya'
To love it	 baa 'įįh nisin 
To make love to him or her	 bich'į' 'ashjił
To be getting low	 'áádįįł 
To get low	 'ádįįh
To lower it	 yaa ninishkeed 
To be out of luck	 na'ńle'dii 
To get a streak of bad luck	 bits'ą́ą́jí ni'íkęęs 
To get a streak of good luck	 bich'ijí ni'íkęęs 
To have bad luck	 t'óó bich'į' nahodigéés 
To have luck on one's side	 bich'ohoo'niih
He's lucky	 bízhánee' 
To be lucky	 bich'ijí 'aztą́ 
To be one's lucky day	 bich'ijí 'oo'ááł 
To be one's unlucky day	 bits'ą́ą́jí 'oo'ááł
To be lugging it along on one's back	 yishjił 
To lug it around in a circle on one's back	 'ahééníshjiid 
To lug it away on one's back	 yóó' 'iishjiid 
To lug it home	 nikinishjiid 
To lug it on one's back	 neheshjiid 
To lug it on one's back as far as	 ninishjiid 
To lug it out of it	 bii' haashjiid 
To lug it back to him on one's back	 baa náníshjiid 
To lug it to him on one's back	 baa nishjiid 
To lug it to safety on one's back	 yisdáshjiid 
To lug them one after another to safety on one's back	 yisdáháshjiid 
To lug it too far	 hadíníshjiid 
To lug it up	 haashjiid 
To lug it out from under it	 biyaa haashjiid 
To lug it out on one's back	 ch'íníshjiid 
To lug them away one after another on one's back	 yóó' 'ahishjiid 
To lug them inside one after another on one's back	 yah 'ahishjiid 
To lug them out one after another	 ch'éhéshjiid 
To start lugging it on one's back	 dishjiid 
To start lugging it back on one's back	 dah ńdiishjiid
To get lukewarm	 niizííł 
To make it lukewarm	 niissííł 
Lukewarm	 t'óó niiziilígo
Cut or sawn lumber	 tsin hahaashjí'ígíí
To pay for it in a lump sum	 t'ááłahji' 'ałtso bik'é na'nishłé 
To form	 dah 'iiyeeh
Covering of the lungs	 'ajéí yilzólii bik'ésti'ígíí 
Membrane covering heart and lung	 'ajéí bik'ésti'ígíí
To lure him into the water	 taah nósh'ááh 
To lure him along	 náás dínósh'ááh 
To lure him out	 ch'íninish'ááh
Ice machine	 tin bee 'ál'íní 
Ice cream machine	 'abe' yistiní bee 'al'íní 
To make him mad	 báháshchįįh
By magic	 'álíleek'eh 
To practice black magic	 'ánísht'į́į́h
Holy maiden	 Ch'ikę́ę́h Diyiní 
Their main group. their main part	 bá níjaa'ígíí
To maintain oneself	 'ádíí'níszin 
To be made	 'adziih 
At the place of manufacture	 'ál'į́įgi 
To be made	 'ánááhálnééh 
To be made	 bee hidilnááh 
To be made again	 'ánáánálnééh 
To be made that way	 'ákólnééh 
To be made thus	 'ákólnééh 
To be making a lot of them	 'ádaashłééh 
To be making it	 'ádeiilne' 
To be making it	 'áshłééh 
To be making it for oneself	 'ádá 'áshnééh 
"To be ""on the make"" for him or her"	 bich'į' 'ashjił 
To be unable to make up one's mind	 bił hazkééh 
To make a bend or turn	 naanázlį́ 
To make a circle with it	 násht'ih 
To make a fence	 'adisht'ééh 
To make a łanding	 nidaah 
To make a landing	 bił 'anidaah 
To make a landing in it	 bił nidaah 
To make a living fromit	 bee 'iiná dah yishłééł 
To make a motion	 bee hidishnááh 
To make a puberty cake	 yishkąąh 
To make a written record of it	 naaltsoos bikáá' nááhássóóh 
To make a sacrifice	 náá'iishniih 
To make a sacrifice to it	 bich'į' náá'iishniih 
To make a smoke signal	 łid yiishgááh 
To make a snowball	 yas nismas 
To make a speech nanisht'á	 bich'į' haasdziih 
To make a stop with one	 bił niiltłáád 
To make a brief stop	 t'óó kónígháníjį' bił niiltłáád 
To make a touchdown	 'aa'diish'aah 
To make another one of them	 ła' 'ánáánáshdlééh 
To make fire with a firedrill	 'ooshk'ą́ą́h 
To make fun of him	 bá nahasht'i' 
To make wisecracks about him	 bá nahasht'i' 
To make him	 bíníshchééh 
To make them	 bíníshkad 
To make him dizzy	 bił náhodíníiłhííł 
To make it for him	 bá 'áshłééh 
To make it for oneself	 'ádá 'áshnééh 
To make it	 'ásh'į́ 
To make it	 hasht'eeshłééh 
To make it again	 'ánáánáshdlééh 
To make it by hand	 t'áá yílá bee 'áshłééh 
To make it flow as far as a destination or stopping point	 niníłį́ 
To make it hard	 yistł'is 
To make it hurt	 yidiłniih 
To make it move	 nahashná 
To make it red	 yiishchííh 
To make it stop hurting	 nishk'e' 
To make it this way	 'ákóshłééh 
To make it thus	 'ákóshłééh 
To make it wet	 náshshoh 
To make it white	 yiishgááh 
To make it yellow	 yiistsxóóh 
To make one go out of his mind	 tsí'bidiiłááh 
To make one's own	 'ádá 'ásh'į́ 
To make oneself a	 'í'díshnééh 
To make the rounds	 naałniih 
To make them	 'ádaashłe' 
To make up one's mind about it	 bee hasht'e' ntsínískees 
To make up one's mind to go	 'atséskees 
To make war on them	 'ana yiilchí 
To start to make it	 'ábi'niishłééh 
To start to make it over	 'ánábi'niishdlééh 
To start to make it	 hasht'enábi'niishdlééh 
To take place	 'é'éłnééh 
To be makers of it	 'ádeiilne'
To do makeshift repair work on it	 dah náháshcha'
In the malpais	 chézhintah
Little man	 dinéchilí 
Holy Young Man	 Dinééh Diyiní 
Young man	 dinééh
To put manacles on him	 bílátsíín ni'nishnííł
Buffalo mane	 'ayání bitsiizóól
In that manner	 t'áá 'éík'ehgo 
In this manner	 díigi 'át'éego 
To be manufactured' 'álnééh	 'ál'į́ 
Cow manure	 béégashii bichaan 
Horse manure	 łį́į́' bichaan
How many of us	 díkwíilt'é 
How many of you	 díkwółt'é 
Not many years ago	 t'ah doo lą'í náháhą́ądą́ą́' 
